session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,VEV_5200_pnl,VEV_5300_pnl,VEV_5400_pnl,VEV_5500_pnl,VEV_6000_pnl,VEV_6500_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,VEV_5100_position,VEV_5200_position,VEV_5300_position,VEV_5400_position,VEV_5500_position,VEV_6000_position,VEV_6500_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,VEV_5100_cash,VEV_5200_cash,VEV_5300_cash,VEV_5400_cash,VEV_5500_cash,VEV_6000_cash,VEV_6500_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2,VEV_5200_slope_per_step,VEV_5200_r2,VEV_5300_slope_per_step,VEV_5300_r2,VEV_5400_slope_per_step,VEV_5400_r2,VEV_5500_slope_per_step,VEV_5500_r2,VEV_6000_slope_per_step,VEV_6000_r2,VEV_6500_slope_per_step,VEV_6500_r2
0,5641.081612982272,3027.079285328393,2183.3397370851308,430.6625905687488,0,0,0,0,0,0,0,0,0,29,43,-1,0,0,0,0,0,0,0,0,0,-287400,-226482,1709,0,0,0,0,0,0,0,0,0,5.226891470995667,0.9640551375501448,3.4535720613569327,0.9494453026906468,1.3457250475741303,0.8783403713717184,0.42759436206460505,0.9229333766493584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1976.7876736842081,1798.1786104421772,-1292.4773850076745,1471.0864482497054,0,0,0,0,0,0,0,0,0,-26,20,-13,0,0,0,0,0,0,0,0,0,261897,-106037,17523,0,0,0,0,0,0,0,0,0,2.5954850896506336,0.8197311112166592,1.9457226630464628,0.8864351863251697,-1.3209341036164346,0.5661278500804402,1.9706965302206327,0.9245860662345464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3346.045221249318,2013.449388780602,784.3802556066512,567.0373227693422,0,0,0,-18.821745907277602,0,0,0,0,0,-26,-8,-2,0,0,0,-2,0,0,0,0,0,259505,42972,3016,0,0,0,214,0,0,0,0,0,3.403595388362504,0.9498443614375932,1.9020779785474216,0.9222108023622815,0.9895547752274775,0.8814347636768566,0.5346146891260488,0.9499141110501355,0,0,0,0,0,0,-0.022652054538449002,0.7323650861884706,0,0,0,0,0,0,0,0,0,0
3,2174.2653018250276,181.5461565759033,1209.6889536921517,813.4623958043012,0,0,0,-30.432204247328457,0,0,0,0,0,39,18,10,0,0,0,-2,0,0,0,0,0,-388185,-94227,-11880,0,0,0,254,0,0,0,0,0,2.5276194840005277,0.9102162117578609,0.3936012562256564,0.28724869930956737,1.2503495714573436,0.9698824545600132,0.9296065717927613,0.9689134456976749,0,0,0,0,0,0,-0.0459379154752236,0.8184252506974103,0,0,0,0,0,0,0,0,0,0
4,3006.4191206963887,1271.065785498009,1604.1275493816938,256.46190627728356,0,0,0,-125.2361204605977,0,0,0,0,0,-30,41,-15,0,0,0,9,0,0,0,0,0,301160,-216010,19619,0,0,0,-949,0,0,0,0,0,2.4021105071236053,0.9414963830289026,1.2146389169795107,0.8418615888866116,1.1099849061404354,0.9212835069365837,0.24312887881745895,0.648808551257913,0,0,0,0,0,0,-0.16564219481380318,0.44915795066378306,0,0,0,0,0,0,0,0,0,0
5,5378.912738849149,2985.142769985774,1934.1525358881336,557.428905276588,0,0,5.848443874133295,0,-103.65991617548019,0,0,0,0,22,-59,5,0,0,1,0,-9,0,0,0,0,-217202,311628,-5779,0,0,-155,0,408,0,0,0,0,5.478900283260337,0.8767161299411045,2.8221393784336732,0.7495708442186223,2.114777914404631,0.9020741216630218,0.5880581817458992,0.93341337678681,0,0,0,0,0.0015117268466457296,0.02389963812115926,0,0,-0.047586918170512055,0.16623600187373846,0,0,0,0,0,0,0,0
6,4337.919286284732,3045.6567281173484,689.214949660236,603.0476085071477,0,0,0,0,0,0,0,0,0,21,89,-3,0,0,0,0,0,0,0,0,0,-207371,-469271,4570,0,0,0,0,0,0,0,0,0,4.110098554498429,0.8948712786203491,2.8337277119085194,0.915623934031269,0.5942440541578278,0.3129208020208045,0.6821267884320525,0.9513347512490399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2108.327310885681,487.58577790664276,465.96217455758597,1154.7793584214523,0,0,0,0,0,0,0,0,0,20,37,-12,0,0,0,0,0,0,0,0,0,-197166,-194118,15778,0,0,0,0,0,0,0,0,0,1.1850822097225024,0.3448592153619013,-0.5257740549531411,0.14700993421077013,0.43569614708850535,0.5682814001945345,1.27516011758714,0.9526118535906357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4490.219386564664,2032.5607286993181,1927.5158190593938,584.9649445415289,0,0,0,-54.82210573557694,0,0,0,0,0,14,63,5,0,0,0,-2,0,0,0,0,0,-136021,-330723,-5585,0,0,0,132,0,0,0,0,0,4.498640206006973,0.9082543244625225,2.1859194283507084,0.8348423639140078,1.7908409857594376,0.6627327284708452,0.5800839928585034,0.8860943050435955,0,0,0,0,0,0,-0.05820420096166251,0.6419297536994483,0,0,0,0,0,0,0,0,0,0
9,3957.5353697352657,2905.998992401175,1164.6340131132893,-96.86720486015292,0,0,0,-16.230430919045887,0,0,0,0,0,55,-11,10,0,0,0,3,0,0,0,0,0,-545301,58569,-12171,0,0,0,-267,0,0,0,0,0,2.797151747100657,0.8764871922815336,1.872948600230457,0.7657785760303079,1.141159180110612,0.922682581908263,-0.2112361434320926,0.3409909968284347,0,0,0,0,0,0,-0.0057198898083260395,0.0443145989919391,0,0,0,0,0,0,0,0,0,0
