day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;HYDROGEL_PACK;9971;11;9969;22;;;9987;11;9990;22;;;9979.0;0.0
-1;0;VELVETFRUIT_EXTRACT;5259;46;5259;41;;;5265;36;;;;;5262.0;0.0
-1;0;VEV_4000;1252;10;1249;26;;;1273;10;1276;26;;;1262.5;0.0
-1;0;VEV_4500;;;;;;;770;6;772;21;;;770.0;0.0
-1;0;VEV_5000;262;20;;;;;269;6;270;12;;;265.5;0.0
-1;0;VEV_5100;173;8;172;33;;;177;27;178;25;;;175.0;0.0
-1;0;VEV_5200;99;23;;;;;102;22;103;17;;;100.5;0.0
-1;0;VEV_5300;49;21;;;;;;;;;;;49.0;0.0
-1;0;VEV_5400;15;16;;;;;17;19;;;;;16.0;0.0
-1;0;VEV_5500;6;18;;;;;7;25;;;;;6.5;0.0
-1;0;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
-1;0;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
-1;100;HYDROGEL_PACK;9971;11;9969;20;;;9987;11;9990;20;;;9979.0;0.0
-1;100;VELVETFRUIT_EXTRACT;5259;22;;;;;5265;32;5265;52;;;5262.0;0.0
-1;100;VEV_4000;1252;7;1249;21;;;1273;7;1275;21;;;1262.5;0.0
-1;100;VEV_4500;751;8;750;22;;;768;7;770;22;;;759.5;0.0
-1;100;VEV_5000;263;22;;;;;270;11;271;16;;;266.5;0.0
-1;100;VEV_5100;;;;;;;177;26;;;;;177.0;0.0
-1;100;VEV_5200;101;9;100;26;;;104;35;;;;;102.5;0.0
-1;100;VEV_5300;48;25;;;;;50;4;;;;;49.0;0.0
-1;100;VEV_5400;15;28;;;;;17;23;;;;;16.0;0.0
-1;100;VEV_5500;6;21;;;;;7;18;;;;;6.5;0.0
-1;100;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
-1;100;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
-1;200;HYDROGEL_PACK;9971;10;9968;27;;;9987;10;9989;27;;;9979.0;0.0
-1;200;VELVETFRUIT_EXTRACT;5258;35;5258;40;;;5263;20;5264;51;;;5260.5;0.0
-1;200;VEV_4000;1250;7;1248;21;;;1272;7;1274;21;;;1261.0;0.0
-1;200;VEV_4500;752;6;750;12;;;768;6;770;12;;;760.0;0.0
-1;200;VEV_5000;263;14;;;;;270;25;271;22;;;266.5;0.0
-1;200;VEV_5100;173;10;172;13;;;177;11;;;;;175.0;0.0
-1;200;VEV_5200;100;21;;;;;103;12;;;;;101.5;0.0
-1;200;VEV_5300;47;16;;;;;50;20;;;;;48.5;0.0
-1;200;VEV_5400;15;24;;;;;17;22;;;;;16.0;0.0
-1;200;VEV_5500;6;13;;;;;7;18;;;;;6.5;0.0
-1;200;VEV_6000;0;28;;;;;1;28;;;;;0.5;0.0
-1;200;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
-1;300;HYDROGEL_PACK;9968;10;9966;30;;;9984;10;9987;30;;;9976.0;0.0
-1;300;VELVETFRUIT_EXTRACT;5259;62;;;;;5264;17;5265;21;;;5261.5;0.0
-1;300;VEV_4000;1252;15;1249;30;;;1273;15;1276;30;;;1262.5;0.0
-1;300;VEV_4500;753;10;751;21;;;769;10;771;21;;;761.0;0.0
-1;300;VEV_5000;263;7;262;35;;;269;6;270;31;;;266.0;0.0
