session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,VEV_5200_pnl,VEV_5300_pnl,VEV_5400_pnl,VEV_5500_pnl,VEV_6000_pnl,VEV_6500_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,VEV_5100_position,VEV_5200_position,VEV_5300_position,VEV_5400_position,VEV_5500_position,VEV_6000_position,VEV_6500_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,VEV_5100_cash,VEV_5200_cash,VEV_5300_cash,VEV_5400_cash,VEV_5500_cash,VEV_6000_cash,VEV_6500_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2,VEV_5200_slope_per_step,VEV_5200_r2,VEV_5300_slope_per_step,VEV_5300_r2,VEV_5400_slope_per_step,VEV_5400_r2,VEV_5500_slope_per_step,VEV_5500_r2,VEV_6000_slope_per_step,VEV_6000_r2,VEV_6500_slope_per_step,VEV_6500_r2
0,37820.76832888647,28056.566158378846,4271.711562084158,6631.494590573944,0,0,-29.396635208297027,-381.8462575008948,-1033.8155963380395,352.6065411910613,-46.552034294304505,0,0,-59,9,12,0,0,1,1,-34,-41,5,0,0,617700,-42323,-10215,0,0,-200,-475,2453,468,-20,0,0,4.518308423359942,0.942749790521683,3.19666677283592,0.9543735676889532,0.6852154123200735,0.6297829915139842,0.7189265868688351,0.954624485240753,0,0,0,0,-0.0011351526373017942,0.187029204206834,-0.04113314806682848,0.4798482689964552,-0.1153072032247087,0.7976520060433211,0.07704500312547917,0.6904652658285352,-0.001969847861495623,0.18697703405252442,0,0,0,0
1,24049.201478512274,7641.366558542533,9319.238715375657,6293.239933660017,0,0,0,363.1517279995019,412.9832655881587,-243.6122736108498,262.8335509572569,0,0,30,-51,-15,0,0,0,5,32,18,46,0,0,-283243,272213,25263,0,0,0,-425,-1210,-1173,-818,0,0,2.685760299057799,0.9514104590542969,0.8513839818273942,0.8392206558517843,1.0179956142625592,0.8934865486817687,0.6951049838767387,0.9817455065611111,0,0,0,0,0,0,0.02645400090195327,0.48181166486054505,0.07947929492552017,0.4300220677185221,-0.01471634742435093,0.2885785410353319,0.03005877068792039,0.9692439376105709,0,0,0,0
2,16960.102236116996,1036.3313986880748,6890.093412907532,8657.835257694296,73.87729703434343,0,20.30303419342144,80.07073983288831,166.45785270907436,-13,48.13324305736877,0,0,5,38,1,2,0,1,11,-40,0,-9,0,0,-50398,-186900,7343,-1480,0,-150,-745,2304,-13,69,0,0,1.6827502512320638,0.8490621635087904,0.07537917697513417,0.0062878421507324275,0.6339973114751435,0.8285606233620433,0.9286674918631416,0.9725830074800765,0.008960065908854089,0.4517213669244389,0,0,0.0044568055277439496,0.45420217328854795,0.005426387006773508,0.13067927298207244,0.02436778855687651,0.05550030065115862,-0.0016863380581068701,0.022419094020009977,0.0031815619765262295,0.4470336272854432,0,0,0,0
3,49084.56444581799,39080.68438628118,6056.504398277204,3787.931016550301,-32.4382361583298,74.77346533439885,0,-12.163512155287435,13.011024386381223,121.7613101863864,-5.499406884257098,0,0,-80,64,-20,-1,1,0,-6,-45,16,-28,0,0,866608,-329353,29765,839,-271,0,928,1837,-107,319,0,0,5.267273807331583,0.9802671168473406,4.134477826807601,0.9590626534083957,0.6115231492325723,0.7813352871067815,0.4314461097369081,0.943726181829786,0.000720250146724322,0.03175439015030723,0.012105562620531116,0.7911430106477247,0,0,-0.014768550014528148,0.5849593855570248,0.05359785215428388,0.279399677965118,0.03652575489119105,0.551813654118544,0.0016458517563294915,0.11869829671900178,0,0,0,0
4,20672.561709020163,7258.293915981776,8109.05436290201,4721.042111894858,0,-3.084040566929019,0,797.7950553560404,70.63881111255955,-220.781231254447,-60.39727640570328,0,0,41,-34,36,0,1,0,11,25,20,16,0,0,-406271,182107,-37544,0,-240,0,-667,-1507,-487,-191,0,0,2.3108928685724646,0.9232230270707302,0.6392731716538319,0.6108466531388758,0.9813499974564167,0.8023837500428259,0.672672902236426,0.8677565281040849,0,0,-0.0002618310013105397,0.000990176697878507,0,0,0.058916797862422786,0.7480165213485752,-0.013463181500692907,0.11669992897878624,-0.02179882243545458,0.5339039867651103,-0.005796165699143191,0.5973764797425156,0,0,0,0
5,20155.65581214307,3904.401264784159,12061.745187976514,4811.802700026008,0,0,0,-198.25731739566754,-79.19529705878534,-417.715707560327,72.87498137117205,0,0,38,64,-23,0,0,0,1,-14,-31,1,0,0,-365663,-330340,36880,0,0,0,-355,419,1179,63,0,0,2.1770596684637553,0.8968133756576949,0.02880830666959437,0.002220300320490256,1.55953532101661,0.8936183299355802,0.6895076494693195,0.7944759840937435,0,0,0,0,0,0,-0.02591799318471081,0.7738361015194744,-0.023490945886457858,0.1067083778523216,-0.05708870755614781,0.8880326077933038,0.005706037935584854,0.7153353072691969,0,0,0,0
6,30471.59145117226,16371.431206349109,8985.792742228397,4737.710793179183,3.310748976785135,-0.24532438728766692,6.4563079740383955,264.1238134777516,121.74392998540634,-26.792162312831266,8.059395701704368,0,0,42,-22,10,2,-1,-2,-18,-59,-17,-10,0,0,-414819,123342,-7264,-1577,271,390,1702,3922,209,27,0,0,2.9919336195816073,0.9210277534323384,1.5374600348817304,0.8876196696592099,0.9837784369937147,0.8918564222477399,0.4712433114779773,0.9161981165262074,0.00006897334550729596,0.000042292260827598493,-0.0061568630703612,0.45957639505409037,-0.0021075996624090898,0.10680814170944165,0.0492114067949376,0.46756213934320084,-0.04435966903233233,0.32856324915184976,-0.0020743328751431623,0.0662246416919519,0.004869920728001575,0.5529413140080631,0,0,0,0
7,38916.090389243946,20852.254571765778,11014.46462580288,6295.04863432329,0,41.39455474069598,0,441.92400913315214,310.4043092087297,38.83816675429843,-78.23848248487661,0,0,35,-25,3,0,1,0,-21,8,6,11,0,0,-327235,139628,2192,0,-275,0,2360,-382,58,-47,0,0,4.086994829956348,0.9489622127396737,2.108317210392776,0.8114317601678553,1.2403009463159727,0.9458289065422782,0.62463774858144,0.9491812003540461,0,0,0.005973110231082994,0.49924764034902763,0,0,0.0770396203910337,0.4871746582284418,0.028106046755807166,0.5605395674361683,0.007842806581185715,0.2929622397447532,-0.005222659292941536,0.39652983902648703,0,0,0,0
8,28633.17386551295,15489.291631247208,10216.29157814174,4021.426782818031,0,-170.12181483756515,46.36050774299156,-471.09301104698875,359.12289341258906,-812.6585566631817,-45.44614530187644,0,0,31,-54,40,0,2,1,9,-16,45,14,0,0,-282815,292953,-44947,0,-356,-121,-1082,644,-383,-79,0,0,2.9703461197226706,0.9583179294574251,1.7258626513758146,0.9084262591020917,0.8367154118167808,0.8933987742946055,0.3561928694997671,0.8123485128240467,0,0,-0.015327651608536228,0.7356398115249345,0.005774462083167826,0.6794152892038318,-0.02319572338521942,0.5782928342968886,0.12046855729644887,0.34858360735428034,-0.03620254631388612,0.18669353077208484,0.0000580889583793974,0.00003067713174703625,0,0,0,0
9,22368.158355096733,4943,10544.545530507807,6512.388646271047,11.471324939981287,-9.849395296268284,111.44630151872866,-223.7229183329432,286.5233664321322,50.028105427682576,142.3273936285657,0,0,0,43,-26,1,-1,1,-12,3,-30,27,0,0,4943,-217372,38997,-935,224,-224,1364,211,162,-309,0,0,2.1662601850555214,0.8901039142282622,0.28024569088577506,0.18761623663615307,1.0973374456720713,0.9541186780442472,0.7863367795062192,0.7006305601585209,0.00046159205479349427,0.19222848673132792,-0.000050165988146843706,0.025938570880403265,0.00920960846131145,0.6904973399468185,-0.0502257748137817,0.5684103671460574,0.037006744116348425,0.8009131648969444,-0.00664198703873012,0.016350347967976173,0.012580252199705936,0.5911612321799852,0,0,0,0
