session_id,day,total_pnl,ASH_COATED_OSMIUM_pnl,HYDROGEL_PACK_pnl,INTARIAN_PEPPER_ROOT_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,VEV_5200_pnl,VEV_5300_pnl,VEV_5400_pnl,VEV_5500_pnl,VEV_6000_pnl,VEV_6500_pnl,total_slope_per_step,total_r2,ASH_COATED_OSMIUM_slope_per_step,ASH_COATED_OSMIUM_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,INTARIAN_PEPPER_ROOT_slope_per_step,INTARIAN_PEPPER_ROOT_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2,VEV_5200_slope_per_step,VEV_5200_r2,VEV_5300_slope_per_step,VEV_5300_r2,VEV_5400_slope_per_step,VEV_5400_r2,VEV_5500_slope_per_step,VEV_5500_r2,VEV_6000_slope_per_step,VEV_6000_r2,VEV_6500_slope_per_step,VEV_6500_r2
0,-2,13627.325647057374,2151.0732421875,2261.835521589208,7459.03125,964.7626276734954,766.6240607152504,0,0,0,23.998944891920388,0,0,0,0,0,14.319099010335286,0.9950942296966239,2.3018720498075966,0.9802861946076414,2.18827057254952,0.9248177213591112,7.996420918426778,0.9997974863027596,1.072915134411506,0.7447526672500407,0.7251068570469625,0.9813556358053666,0,0,0,0,0,0,0.03451347809289039,0.7054531551468015,0,0,0,0,0,0,0,0,0,0
1,-1,14375.7886550566,2045.5546875,3272.3198988992954,7503.03125,802.8405308699876,752.042287787317,0,0,0,0,0,0,0,0,0,14.566822851167121,0.9741067792670379,2.2197832234218953,0.9686752353396991,2.5783242168057012,0.6235038494825965,7.997804029638014,0.9999073377345514,1.167248973176722,0.8311499589940199,0.6036624081248241,0.8826863612205418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2,12232.825474098316,1615.466796875,1803.553055283026,7320.03125,597.3401562789804,844.3296413174176,0,0,4.486032432259265,47.618541911632065,0,0,0,0,0,13.070632698258603,0.999182591888345,1.5987387623520437,0.9478258379163756,1.9017814368573915,0.9799049002568591,7.99260657118079,0.9998891743435523,0.726743290680546,0.7909304372588319,0.77978741481342,0.9836829604003872,0,0,0,0,0.003234038333676829,0.2226050102518108,0.06774118404075612,0.5741153024834695,0,0,0,0,0,0,0,0,0,0
3,-1,11318.892822199734,1845.734375,1720.0385103686422,7410.03125,165.53719777685183,177.55148905423994,0,0,0,0,0,0,0,0,0,12.10879880050099,0.9944726588313435,1.7309762361676424,0.9242016220243506,2.5421423149070206,0.9362685363722383,7.988820629105786,0.9998610979550934,-0.15001246908366914,0.08444415248908607,-0.0031279105958585633,0.00023657745337998784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-2,13027.666048955567,1727.591796875,1797.3539406330092,7405.03125,1450.0976615237887,691.3872967762964,0,0,-34.9048440047269,-9.229491668142487,0.33843882034142325,0,0,0,0,13.38006648811229,0.9968304552292538,1.5288916638799452,0.9750915334140402,1.5780662169878916,0.9207160648247914,7.993867653051247,0.9998916980004576,1.61240903610303,0.810360936698089,0.6993397168359842,0.9524915355736805,0,0,0,0,-0.03740529125314106,0.761593244065893,-0.003811070564118842,0.11475802258266325,0.008708563071454272,0.2635178809714852,0,0,0,0,0,0,0,0
5,-1,13359.287708348806,2374.98828125,1888.6306587713334,7398.03125,1136.8614042639965,560.7761140634757,0,0,0,0,0,0,0,0,0,12.98398287548398,0.9916697328174808,2.3130227978313918,0.9935393556148605,1.4169564464224924,0.7864784342216906,7.989553234326672,0.9997892539417097,0.6051054773752628,0.5046076671826737,0.6593449195282066,0.9693505762360575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2,11978.920558063915,2516.943359375,1664.2011406504243,7472.03125,-206.48843353547272,535,-2.7667584260368585,0,0,0,0,0,0,0,0,12.867563092984993,0.9972904437025185,2.5117842768213863,0.9841612295478277,1.5151047118531638,0.9313671650542558,7.988941549593894,0.9998494832521182,0.21916349921934472,0.26990103696803036,0.6408572402894651,0.9560517899150102,-0.008288184792333817,0.28061166793322934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1,12241.745403157174,1636.98046875,1112.656149609189,7402.03125,1463.3840756698846,530.6235484582817,0,21.320633913858217,0,74.7492767559612,0,0,0,0,0,13.108550832441946,0.9972339629721259,1.6268423785123003,0.9862016824616217,1.0351002212775469,0.810288876409776,7.9880274616466025,0.9998641778055884,1.815899481575035,0.9544767579436746,0.5769964810096946,0.8859890223265614,0,0,0.019289669643269555,0.5148804769265792,0,0,0.04639513877747835,0.45126133804504764,0,0,0,0,0,0,0,0,0,0
8,-2,14848.510660689086,2087.22265625,3365.0466937697493,7335.03125,1214.3306750796037,846.8793855897329,0,0,0,0,0,0,0,0,0,15.250888798115659,0.9884859593645062,2.257277841855967,0.980261085233705,2.7451689607227348,0.8536799114722459,7.980745387688747,0.9997445627554433,1.2813067267542768,0.5643125684177696,0.9863898810939373,0.9670871656701319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1,10884.683530321547,1896.7119140625,2143.6052873289445,7406.03125,-977.5471695381857,420.4211801194433,-4.538931651155963,0,0,0,0,0,0,0,0,11.433763008121085,0.9966365609889889,1.9129235432067464,0.9842568381780614,1.9336054490603123,0.9370469330163149,7.997532754571817,0.9997985095528412,-0.9137928981754831,0.8267685206675501,0.5024440822542324,0.9295823101364366,0.0010500772034691865,0.07527056665046987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
