day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;ASH_COATED_OSMIUM;9990;25;;;;;10010;25;;;;;10000.0;0.0
-1;0;HYDROGEL_PACK;9971;12;9969;23;;;9987;12;9990;23;;;9979.0;0.0
-1;0;INTARIAN_PEPPER_ROOT;13093;8;13090;16;;;13107;8;13110;16;;;13100.0;0.0
-1;0;VELVETFRUIT_EXTRACT;5259;30;;;;;5265;43;;;;;5262.0;0.0
-1;0;VEV_4000;1252;8;1249;18;;;1273;8;1276;18;;;1262.5;0.0
-1;0;VEV_4500;753;20;752;17;;;772;17;;;;;762.5;0.0
-1;0;VEV_5000;263;8;262;13;;;269;12;270;23;;;266.0;0.0
-1;0;VEV_5100;;;;;;;177;29;;;;;177.0;0.0
-1;0;VEV_5200;100;22;99;36;;;102;9;103;27;;;101.0;0.0
-1;0;VEV_5300;49;26;;;;;;;;;;;49.0;0.0
-1;0;VEV_5400;15;21;;;;;17;24;;;;;16.0;0.0
-1;0;VEV_5500;6;15;;;;;7;18;;;;;6.5;0.0
-1;0;VEV_6000;0;29;;;;;1;29;;;;;0.5;0.0
-1;0;VEV_6500;0;10;;;;;1;10;;;;;0.5;0.0
-1;100;ASH_COATED_OSMIUM;9991;13;9989;25;;;10007;13;10010;25;;;9999.0;0.0
-1;100;HYDROGEL_PACK;9972;15;9970;26;;;9988;15;9991;26;;;9980.0;0.0
-1;100;INTARIAN_PEPPER_ROOT;13093;10;13090;20;;;13110;20;;;;;13101.5;0.0
-1;100;VELVETFRUIT_EXTRACT;5259;41;5259;15;;;5264;15;5265;68;;;5261.5;0.0
-1;100;VEV_4000;1250;9;1248;26;;;1271;9;1274;26;;;1260.5;0.0
-1;100;VEV_4500;756;11;755;10;754;16;772;11;774;16;;;764.0;0.0
-1;100;VEV_5000;262;6;;;;;268;12;269;15;;;265.0;0.0
-1;100;VEV_5100;172;21;;;;;177;10;;;;;174.5;0.0
-1;100;VEV_5200;99;23;;;;;;;;;;;99.0;0.0
-1;100;VEV_5300;49;23;;;;;51;25;;;;;50.0;0.0
-1;100;VEV_5400;;;;;;;16;5;;;;;16.0;0.0
-1;100;VEV_5500;6;25;;;;;7;19;;;;;6.5;0.0
-1;100;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
-1;100;VEV_6500;0;13;;;;;1;13;;;;;0.5;0.0
-1;200;ASH_COATED_OSMIUM;9991;13;9989;27;;;10010;27;;;;;10000.5;0.0
-1;200;HYDROGEL_PACK;9972;15;9970;24;;;9988;15;9991;24;;;9980.0;0.0
-1;200;INTARIAN_PEPPER_ROOT;13093;11;13090;22;;;13107;11;;;;;13100.0;0.0
-1;200;VELVETFRUIT_EXTRACT;5256;24;;;;;5262;61;;;;;5259.0;0.0
-1;200;VEV_4000;1251;14;1249;20;;;1273;14;1275;20;;;1262.0;0.0
-1;200;VEV_4500;756;8;754;24;;;774;24;;;;;765.0;0.0
-1;200;VEV_5000;261;11;260;15;;;267;10;;;;;264.0;0.0
-1;200;VEV_5100;172;10;171;24;;;177;27;;;;;174.5;0.0
-1;200;VEV_5200;;;;;;;104;29;;;;;104.0;0.0
-1;200;VEV_5300;49;19;;;;;51;7;;;;;50.0;0.0
-1;200;VEV_5400;15;22;;;;;17;15;;;;;16.0;0.0
-1;200;VEV_5500;6;29;;;;;7;17;;;;;6.5;0.0
-1;200;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
-1;200;VEV_6500;0;18;;;;;1;18;;;;;0.5;0.0
-1;300;ASH_COATED_OSMIUM;;;;;;;10007;11;10010;30;;;10007.0;0.0
-1;300;HYDROGEL_PACK;9972;13;9970;29;;;9988;13;9991;29;;;9980.0;0.0
-1;300;INTARIAN_PEPPER_ROOT;13093;11;13090;24;;;13107;11;;;;;13100.0;0.0
-1;300;VELVETFRUIT_EXTRACT;5257;35;;;;;5263;55;;;;;5260.0;0.0
-1;300;VEV_4000;1250;15;1248;23;;;1272;15;1274;23;;;1261.0;0.0
-1;300;VEV_4500;756;6;754;16;;;772;6;773;9;774;16;764.0;0.0
-1;300;VEV_5000;261;21;;;;;268;7;269;24;;;264.5;0.0
-1;300;VEV_5100;173;6;172;16;;;;;;;;;173.0;0.0
-1;300;VEV_5200;102;12;101;23;;;;;;;;;102.0;0.0
-1;300;VEV_5300;49;16;48;12;;;51;16;;;;;50.0;0.0
-1;300;VEV_5400;;;;;;;17;23;;;;;17.0;0.0
-1;300;VEV_5500;6;17;;;;;7;19;;;;;6.5;0.0
-1;300;VEV_6000;0;18;;;;;1;18;;;;;0.5;0.0
-1;300;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
-1;400;ASH_COATED_OSMIUM;9991;14;9989;30;;;10007;14;10010;30;;;9999.0;0.0
-1;400;HYDROGEL_PACK;9974;14;9972;26;;;9990;14;9993;26;;;9982.0;0.0
-1;400;INTARIAN_PEPPER_ROOT;13093;11;13090;22;;;13107;11;;;;;13100.0;0.0
-1;400;VELVETFRUIT_EXTRACT;5258;23;;;;;5264;47;;;;;5261.0;0.0
-1;400;VEV_4000;1251;15;1248;24;;;1272;15;1275;24;;;1261.5;0.0
-1;400;VEV_4500;756;12;754;14;;;772;12;774;14;;;764.0;0.0
-1;400;VEV_5000;261;8;260;17;;;267;8;268;25;;;264.0;0.0
-1;400;VEV_5100;173;7;172;29;;;177;12;178;19;;;175.0;0.0
-1;400;VEV_5200;;;;;;;104;32;105;22;;;104.0;0.0
-1;400;VEV_5300;49;24;;;;;51;26;52;16;;;50.0;0.0
-1;400;VEV_5400;16;23;;;;;;;;;;;16.0;0.0
-1;400;VEV_5500;6;24;;;;;7;12;;;;;6.5;0.0
-1;400;VEV_6000;0;27;;;;;1;27;;;;;0.5;0.0
-1;400;VEV_6500;0;16;;;;;1;16;;;;;0.5;0.0
-1;500;ASH_COATED_OSMIUM;;;;;;;10007;12;10010;24;;;10007.0;0.0
-1;500;HYDROGEL_PACK;9975;12;9972;22;;;9991;12;9993;22;;;9983.0;0.0
-1;500;INTARIAN_PEPPER_ROOT;13093;8;13090;23;;;13108;8;13111;23;;;13100.5;0.0
-1;500;VELVETFRUIT_EXTRACT;5256;21;5255;22;;;5261;75;;;;;5258.5;0.0
-1;500;VEV_4000;1251;15;1248;23;;;1272;15;1275;23;;;1261.5;0.0
-1;500;VEV_4500;756;7;754;24;;;772;7;774;24;;;764.0;0.0
-1;500;VEV_5000;260;27;259;19;;;266;7;267;21;;;263.0;0.0
-1;500;VEV_5100;173;19;;;;;178;9;;;;;175.5;0.0
-1;500;VEV_5200;102;19;;;;;105;12;;;;;103.5;0.0
-1;500;VEV_5300;49;5;;;;;51;25;;;;;50.0;0.0
-1;500;VEV_5400;;;;;;;17;28;;;;;17.0;0.0
-1;500;VEV_5500;6;25;;;;;7;18;;;;;6.5;0.0
-1;500;VEV_6000;0;23;;;;;1;23;;;;;0.5;0.0
-1;500;VEV_6500;0;17;;;;;1;17;;;;;0.5;0.0
-1;600;ASH_COATED_OSMIUM;9990;14;9988;23;;;10006;14;;;;;9998.0;0.0
-1;600;HYDROGEL_PACK;9973;15;9971;28;;;9989;15;9992;28;;;9981.0;0.0
-1;600;INTARIAN_PEPPER_ROOT;13090;23;;;;;13108;10;;;;;13099.0;0.0
-1;600;VELVETFRUIT_EXTRACT;5256;37;;;;;5262;34;;;;;5259.0;0.0
-1;600;VEV_4000;1251;15;1249;20;;;1272;15;1275;20;;;1261.5;0.0
-1;600;VEV_4500;757;6;755;15;;;773;6;775;15;;;765.0;0.0
-1;600;VEV_5000;261;27;260;20;;;267;28;268;12;;;264.0;0.0
-1;600;VEV_5100;173;18;;;;;179;24;;;;;176.0;0.0
-1;600;VEV_5200;101;21;;;;;105;20;;;;;103.0;0.0
-1;600;VEV_5300;48;20;47;15;;;50;20;;;;;49.0;0.0
-1;600;VEV_5400;15;27;;;;;;;;;;;15.0;0.0
-1;600;VEV_5500;6;18;;;;;7;25;;;;;6.5;0.0
