trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.5,0.0,0.7,60,100,100,0.5,1.0,0.01,14961,582,11901,15543,11901,27444,16.75,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,535,-222,955,88,234,1773,79,17,1473,17,102,874,131,47,400,0,2,147,0,0,0,0,0,0
1,0.6886,-0.3492,1.116,38,260,187,0.0941,3.1225,0.0456,14273,1438,12541,15711,12541,28252,9.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,167,55,1873,-18,362,1830,-9,204,1360,78,235,703,-10,121,349,-46,59,147,0,0,0,0,0,0
2,0.5576,-0.4141,0.86,81,73,191,0.4245,4.2208,0.0071,15363,1738,11318,17101,11318,28420,9.61,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,813,270,891,175,422,1594,151,333,1326,10,205,838,12,57,294,91,50,96,0,0,0,0,0,0
3,0.5679,0.1274,1.4425,121,62,299,0.2211,3.005,0.0075,15624,1244,10065,16868,10065,26934,9.68,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-15,-158,130,557,92,938,564,453,1433,314,308,831,93,148,404,0,0,50,0,0,0,0,0,0
4,0.803,0.0407,1.028,66,76,198,0.5712,1.3454,0.0058,14997,1750,11023,16747,11023,27770,9.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,611,18,667,46,366,1688,108,534,1215,47,333,738,24,49,327,50,49,109,0,0,0,0,0,0
5,1.1545,0.0644,1.0809,147,224,186,0.4276,1.9137,0.0297,14094,1454,12878,15548,12878,28426,9.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,48,-140,1829,-34,429,1706,20,325,1603,-3,339,914,7,93,400,-55,6,147,0,0,0,0,0,0
6,0.8438,-0.2002,1.2738,82,70,197,0.3002,2.728,0.0178,15294,224,9672,15518,9672,25190,9.66,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,332,28,731,258,-42,1035,304,-57,821,247,-61,558,56,-46,200,-14,0,48,0,0,0,0,0,0
7,0.8386,0.109,0.4805,127,92,243,0.3421,4.6997,0.0217,14515,1534,12524,16049,12524,28572,10.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,70,142,1630,94,558,1734,193,148,1499,73,224,928,0,97,307,-26,-37,147,0,0,0,0,0,0
8,1.4544,-0.4224,1.0139,100,137,227,0.3502,2.735,0.04,15346,868,12307,16214,12307,28522,9.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,569,372,1456,212,75,1735,211,-69,1394,207,103,886,13,21,410,23,-35,147,0,0,0,0,0,0
9,0.3825,-0.4064,0.6969,36,65,237,0.7015,3.4121,0.0497,15845,60,10858,15905,10858,26762,12.56,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,492,-407,1062,532,88,1402,374,65,1289,143,43,592,145,-94,184,48,-37,50,0,0,0,0,0,0
10,1.2863,-0.2154,0.8244,108,55,290,0.4617,1.2562,0.0067,15036,1774,10375,16810,10375,27184,39.12,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,264,-12,234,232,408,1639,285,590,1094,106,334,693,-1,50,340,39,2,96,0,0,0,0,0,0
