trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.5,0.0,0.7,60,100,100,0.5,1.0,0.01,14961,582,11901,15543,11901,27444,8.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,535,-222,955,88,234,1773,79,17,1473,17,102,874,131,47,400,0,2,147,0,0,0,0,0,0
1,0.536,-0.2956,1.0865,20,172,282,0.653,4.0984,0.0052,15310,1666,12464,16976,12464,29440,8.95,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,76,686,1831,273,444,1432,563,14,1544,242,97,918,60,-25,359,-15,48,101,0,0,0,0,0,0
2,0.536,-0.2956,1.0865,15,172,282,0.653,4.0984,0.0052,15339,1692,12384,17031,12384,29416,9.19,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,70,724,1846,297,435,1362,580,9,1556,221,111,870,65,-35,370,-5,47,101,0,0,0,0,0,0
3,0.536,-0.2956,1.0865,30,172,282,0.653,4.0984,0.0052,15289,1684,12402,16973,12402,29376,9.31,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,40,679,1808,267,460,1447,580,19,1495,225,105,918,71,-26,359,-5,46,96,0,0,0,0,0,0
4,0.536,-0.2956,1.0865,40,172,282,0.653,4.0984,0.0052,15266,1666,12402,16932,12402,29334,9.52,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,40,679,1808,267,460,1447,557,0,1495,225,105,918,71,-26,359,-5,46,96,0,0,0,0,0,0
5,0.4,-0.2956,1.0865,20,172,282,0.653,4.0984,0.0052,15310,1614,12464,16924,12464,29388,9.53,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,76,686,1831,273,444,1432,563,-38,1544,242,97,918,60,-25,359,-15,48,101,0,0,0,0,0,0
6,0.65,-0.2956,1.0865,20,172,282,0.653,4.0984,0.0052,15310,1666,12466,16976,12466,29442,9.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,76,686,1831,273,444,1432,563,14,1544,242,97,918,60,-25,359,-15,48,103,0,0,0,0,0,0
7,0.8,-0.2956,1.0865,20,172,282,0.653,4.0984,0.0052,15310,1666,12466,16976,12466,29442,9.63,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,76,686,1831,273,444,1432,563,14,1544,242,97,918,60,-25,359,-15,48,103,0,0,0,0,0,0
8,0.536,-0.5,1.0865,20,172,282,0.653,4.0984,0.0052,15418,1666,12412,17084,12412,29496,9.67,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,184,686,1831,273,444,1432,563,14,1524,242,97,918,60,-25,325,-15,48,103,0,0,0,0,0,0
9,0.536,-0.15,1.0865,20,172,282,0.653,4.0984,0.0052,15310,1654,12461,16964,12461,29424,9.78,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,76,674,1831,273,444,1432,563,14,1544,242,97,915,60,-25,359,-15,48,101,0,0,0,0,0,0
