trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,0.5,0.0,0.7,60,100,100,0.5,1.0,0.01,14961,582,11901,15543,11901,27444,8.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,535,-222,955,88,234,1773,79,17,1473,17,102,874,131,47,400,0,2,147,0,0,0,0,0,0
1,0.536,-0.2956,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2908,12306,17582,12306,29888,9.04,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,772,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
2,0.536,-0.4,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2912,12306,17586,12306,29892,9.34,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
3,0.536,-0.4,1.0865,20,80,200,0.653,4.0984,0.0052,15203,2114,11542,17317,11542,28860,9.24,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,790,269,934,138,190,1716,74,682,1362,80,459,827,-25,102,315,35,11,109,0,0,0,0,0,0
4,0.65,-0.4,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2914,12276,17588,12276,29864,9.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1922,161,776,1824,84,529,1145,104,459,659,26,237,340,-15,5,107,0,0,0,0,0,0
5,0.65,-0.2956,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2910,12276,17584,12276,29860,9.96,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1922,161,772,1824,84,529,1145,104,459,659,26,237,340,-15,5,107,0,0,0,0,0,0
6,0.65,-0.4,1.0865,20,80,200,0.653,4.0984,0.0052,15203,2130,11545,17333,11545,28878,9.49,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,790,284,937,138,190,1716,74,682,1362,80,459,827,-25,103,315,35,11,109,0,0,0,0,0,0
7,0.536,-0.2956,1.0865,20,100,180,0.653,4.0984,0.0052,14412,2900,12131,17312,12131,29442,9.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,180,652,1665,93,513,1812,63,635,1291,-46,503,634,26,195,343,-15,0,107,0,0,0,0,0,0
8,0.536,-0.2956,1.0865,20,100,220,0.653,4.0984,0.0052,14721,2750,12101,17471,12101,29572,9.68,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,241,482,1835,111,745,1735,161,529,1153,160,376,633,-49,237,361,-14,-20,105,0,0,0,0,0,0
9,0.536,-0.5,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2912,12279,17586,12279,29864,9.98,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1925,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
10,0.536,-0.35,1.0865,20,100,200,0.653,4.0984,0.0052,14674,2908,12306,17582,12306,29888,9.6,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,772,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
11,0.536,-0.4,1.0865,25,100,200,0.653,4.0984,0.0052,14687,2928,12312,17615,12312,29926,9.6,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,488,1952,161,804,1824,84,540,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
12,0.536,-0.4,1.0865,30,100,200,0.653,4.0984,0.0052,14675,2942,12312,17617,12312,29930,9.69,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,807,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
13,0.536,-0.4,0.95,20,100,200,0.653,4.0984,0.0052,14665,2728,11639,17393,11639,29032,9.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,217,393,1786,62,1025,1465,180,345,953,104,318,760,6,195,293,-15,50,103,0,0,0,0,0,0
14,0.536,-0.4,1.0865,20,100,200,0.5,4.0984,0.0052,14674,2912,12306,17586,12306,29892,9.87,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
15,0.536,-0.4,1.0865,20,100,200,0.8,4.0984,0.0052,14674,2912,12306,17586,12306,29892,9.55,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
16,0.536,-0.4,1.0865,20,100,200,0.653,3.0,0.0052,14674,2912,12306,17586,12306,29892,9.65,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
17,0.536,-0.4,1.0865,20,100,200,0.653,5.0,0.0052,14674,2912,12306,17586,12306,29892,9.69,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,507,1952,161,776,1824,84,529,1145,104,456,659,26,237,340,-15,5,107,0,0,0,0,0,0
