thr_5000,size_5000,total,d1,d2,d3,vev5000_total,vev5000_d3
0.8,20,30040,14675,3000,12365,2759,2005
0.9,20,30040,14675,3000,12365,2759,2005
0.8,35,30020,14675,2980,12365,2739,2005
0.8,50,30020,14675,2980,12365,2739,2005
0.8,75,30020,14675,2980,12365,2739,2005
0.8,100,30020,14675,2980,12365,2739,2005
0.9,35,30020,14675,2980,12365,2739,2005
0.9,50,30020,14675,2980,12365,2739,2005
0.9,75,30020,14675,2980,12365,2739,2005
0.9,100,30020,14675,2980,12365,2739,2005
1.0,20,30000,14675,3042,12283,2719,1923
1.0,35,30000,14675,3042,12283,2719,1923
1.0,50,30000,14675,3042,12283,2719,1923
1.0,75,30000,14675,3042,12283,2719,1923
1.0,100,30000,14675,3042,12283,2719,1923
1.1,20,30000,14675,3042,12283,2719,1923
1.1,35,30000,14675,3042,12283,2719,1923
1.1,50,30000,14675,3042,12283,2719,1923
1.1,75,30000,14675,3042,12283,2719,1923
1.1,100,30000,14675,3042,12283,2719,1923
0.6,20,29913,14675,2956,12282,2632,1922
0.7,20,29913,14675,2956,12282,2632,1922
0.6,35,29903,14675,2946,12282,2623,1922
0.6,50,29903,14675,2946,12282,2623,1922
0.6,75,29903,14675,2946,12282,2623,1922
0.6,100,29903,14675,2946,12282,2623,1922
0.7,35,29903,14675,2946,12282,2623,1922
0.7,50,29903,14675,2946,12282,2623,1922
0.7,75,29903,14675,2946,12282,2623,1922
0.7,100,29903,14675,2946,12282,2623,1922
