number,value,params_ACO_SOFT_POS,params_IPR_ASK_OFFSET_1,params_IPR_ASK_THRESH_1,params_SIGNAL_EDGE_OFF,params_SIGNAL_EDGE_ON,params_SIGNAL_MIN_COUNT,user_attrs_params_hash,user_attrs_train/metric/cvar_10,user_attrs_train/metric/mean_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/ASH_COATED_OSMIUM/mean,user_attrs_train/symbol/INTARIAN_PEPPER_ROOT/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_10,user_attrs_val/metric/mean_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/ASH_COATED_OSMIUM/mean,user_attrs_val/symbol/INTARIAN_PEPPER_ROOT/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
102,104119.38065429687,55,9,64,0.03795656559966917,0.21720314064350354,1490,2ab19d5a5c69,97918.3978515625,99223.46076171874,50.0,99223.46076171874,826.7286949466061,19804.10951171875,79419.35125,-34.42110351563315,97476.63671875,99279.969921875,20.0,99279.969921875,1213.424266738347,19854.538671875,79425.43125,104153.8017578125,COMPLETE,104073.75454589844,99199.75922851563,957.1416963977509
123,104113.36065429688,53,12,58,0.06563252306161245,0.27769263659104143,1489,60c727ff08a7,97909.9978515625,99217.86076171875,50.0,99217.86076171875,827.8209082921524,19798.74951171875,79419.11125,-30.866103515625582,97460.13671875,99271.219921875,20.0,99271.219921875,1213.9571291566347,19845.788671875,79425.43125,104144.2267578125,COMPLETE,104068.16454589844,99194.00922851563,955.5393349483501
144,104110.79065429687,53,12,61,0.0412164940463689,0.26691272504792896,1476,abc2b1e42516,97909.3978515625,99215.32076171874,50.0,99215.32076171874,828.4593280335514,19796.20951171875,79419.11125,-32.18610351563257,97460.13671875,99269.969921875,20.0,99269.969921875,1213.3126142238955,19844.538671875,79425.43125,104142.9767578125,COMPLETE,104064.65454589843,99191.10922851562,957.3685722064948
119,104106.81065429687,55,10,63,0.057316455950888086,0.21504554118977898,1413,d4e3cbf9246d,97914.5978515625,99211.08076171875,50.0,99211.08076171875,827.7685617356817,19791.48951171875,79419.59125,-30.016103515634313,97437.13671875,99264.969921875,20.0,99264.969921875,1216.495028235017,19839.538671875,79425.43125,104136.82675781251,COMPLETE,104061.44954589845,99188.33922851563,957.1336920748668
118,104108.77065429688,52,12,61,0.052552812755258596,0.2682396395779504,1481,d31037761b34,97906.9978515625,99213.42076171875,50.0,99213.42076171875,827.6213363283659,19794.30951171875,79419.11125,-32.73110351561627,97458.63671875,99268.569921875,20.0,99268.569921875,1213.882317735527,19843.138671875,79425.43125,104141.5017578125,COMPLETE,104061.43954589844,99188.04922851562,957.9232468822689
111,104105.43065429687,53,10,66,0.06347891683164952,0.24390002036778408,1443,671003eda82e,97908.5978515625,99210.00076171875,50.0,99210.00076171875,829.5989020921418,19790.40951171875,79419.59125,-30.82110351564188,97444.63671875,99264.019921875,20.0,99264.019921875,1216.303153571962,19838.588671875,79425.43125,104136.25175781251,COMPLETE,104059.09454589844,99185.86922851563,957.2192934344265
93,104104.31065429687,52,10,54,0.1693619387776598,0.2513232286963589,1455,dfe78b2e28b8,97905.7978515625,99209.02076171876,50.0,99209.02076171876,828.6667293265112,19789.42951171875,79419.59125,-32.79110351562849,97451.63671875,99264.519921875,20.0,99264.519921875,1214.1900971690725,19839.088671875,79425.43125,104137.1017578125,COMPLETE,104058.77954589845,99185.16922851563,955.4868442711792
117,104102.41065429687,52,11,61,0.03920882964398003,0.2604057483193516,1448,835ea6466119,97905.7978515625,99207.12076171875,50.0,99207.12076171875,828.2156160055616,19788.00951171875,79419.11125,-32.06610351562267,97443.13671875,99262.319921875,20.0,99262.319921875,1216.120456492338,19836.888671875,79425.43125,104134.47675781249,COMPLETE,104055.77454589844,99182.72922851563,957.4571089829532
82,104100.81065429687,53,11,64,0.04453621996098374,0.21025913314722533,1417,e321966f2a74,97906.5978515625,99205.48076171875,50.0,99205.48076171875,828.6572909691937,19786.36951171875,79419.11125,-27.39110351561976,97425.63671875,99256.919921875,20.0,99256.919921875,1217.3875189936175,19831.488671875,79425.43125,104128.2017578125,COMPLETE,104055.00454589844,99182.07922851562,956.9167019217903
133,104098.09065429687,54,9,63,0.11234418546288394,0.2263834891411837,1365,d20ff660b6d6,97905.3978515625,99202.82076171874,50.0,99202.82076171874,828.6722739721412,19783.46951171875,79419.35125,-27.861103515620925,97432.63671875,99254.319921875,20.0,99254.319921875,1215.9060674338657,19828.888671875,79425.43125,104125.9517578125,COMPLETE,104050.20454589844,99177.81922851563,959.0013265147632
