session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2
0,26113.269478606315,16724.529145906796,7787.936235012545,353.40965342910204,1133.0044865387977,114.38995771907707,36,-82,26,2,-1,-356570,441037,-31065,-468,467,2.331209233609982,0.9534039500416924,1.2883311411169187,0.8999986935514257,0.9598388775016288,0.8893228815864753,-0.03822600956344809,0.04407820970454093,0.10925445165805255,0.9804378478616149,0.012010772896876323,0.20137725755170705
1,9298.711400614604,10190.68600214587,-862.8414033846348,920.7694565072029,863.5600330949901,-1813.4626877488245,30,84,-2,11,19,-294538,-428635,3545,-6337,-4773,0.9773277855247124,0.6528672963977831,1.0302762965068553,0.7513210809197545,-0.08849308509975255,0.04519847958980847,0.09811353597405044,0.563837668901934,0.09586467925159495,0.8350609632840392,-0.15843364110802954,0.5463567418501212
2,211.06207759522022,-9260.120217803866,7199.735141750367,2911.5027110511583,1042.3154628654265,-1682.3710202678658,-54,86,48,15,27,538947,-442387,-59795,-10127,-7760,-0.6383097965241019,0.34850739476747455,-1.1781461508394415,0.6060093768266815,0.39475269091778703,0.4333336392851132,0.32944815296690055,0.8311470914729615,0.06104300814769585,0.21564657261937054,-0.24540749771704468,0.17158423557373034
3,16136.262325403595,5845.443387723935,5483.554048726335,1124.150993159994,1301.7954129994105,2381.3184827939203,-18,55,12,15,39,187708,-282899,-12917,-9575,-9551,1.6838062334674633,0.676955779159792,0.7098550351495909,0.5547922631872971,0.5087328224003075,0.42417813377785396,0.12451539549659706,0.8127201925407218,0.12705192226514214,0.9053529532776817,0.21365105815583016,0.35165589752627274
4,29223.946995497132,12571.52895966696,13921.99589733893,2420.42908167532,270.69735366396617,39.29570315195184,-44,35,-27,-5,1,445394,-169128,34342,4733,-159,3.0851189266831938,0.9708919707348936,1.4921065678895729,0.9077713130955455,1.2104292692176783,0.9363570483623133,0.33716718676879404,0.7952363499671674,0.036580731313695464,0.6236785759756778,0.00883517149345873,0.19002379355579846
5,18513.119892070812,9015.892791447477,5279.054019123199,285.0478116191043,914.6130009504413,3018.51226893059,9,-133,18,-12,88,-80101,719898,-20379,10709,-19313,1.532351042914794,0.7334731937365598,1.0352493801509637,0.8739984744170435,0.2565154533954873,0.06873174728016879,0.026231737915863643,0.05832382010417568,0.0936786243270094,0.7808174143120618,0.12067584712543286,0.11515817464593617
6,4851.568797748096,7319.067103473935,-6475.8924637851305,2332,947.5713412716323,728.8228167876587,45,-120,0,11,-129,-448151,643956,2332,-7391,35182,1.230870159876388,0.3586932072918091,0.9191943843927842,0.6633734167082338,-0.7577588806613971,0.8069708213833783,0.22683907413325657,0.9165767781041088,0.0925248797615522,0.8420399921075489,0.750070702250204,0.268514864303491
7,26234.63446864358,8968.948054235661,5595.819548511645,2605.3927457295395,606.4165002113464,8458.057619955387,-49,-60,-8,-5,93,492669,323521,11409,4217,-22994,3.1374024106119927,0.9207494371916727,1.016094869105856,0.9645633349117422,0.7302513460109686,0.7191433879078728,0.3067323891074832,0.9244356855543828,0.0413379365086369,0.2637593955596828,1.042985869879102,0.6616277978167189
8,1089.3644562118025,3241.7411342718988,-4651.546708840411,1816.4679235973108,580.1808484394387,102.52125874356483,43,-68,-10,-2,-1,-415138,364820,14563,2205,416,0.2502868779304665,0.24228271264311133,0.2210327399188689,0.15595338470135217,-0.22271511082545362,0.13352483901544518,0.20264686543944316,0.9511073208168989,0.06064766949368336,0.9800940861382729,-0.011325286096067293,0.06618752086183405
9,20549.34224093129,7228.7482631478415,10178.072520431597,1093.3325724306633,1595.9517150482698,453.23716987292187,4,-42,33,-19,-5,-32273,230935,-39841,15951,1027,2.70892139953782,0.9476912577492725,0.8649900983934322,0.9442535006362185,1.373948460960186,0.9116260964274243,0.19781803283718935,0.7786974618166022,0.21085263303096588,0.7579296002328865,0.06131217431601559,0.9022594305499894
10,30363.063117101083,10915.861844116167,12961.237354018493,2571.549430141333,1149.7814166784774,2764.6330721466147,5,121,-4,-15,82,-37180,-620669,6793,12989,-19799,2.8521673852879603,0.9443085222551859,1.259062446949649,0.942427931819774,0.9186219624241608,0.7948262841948246,0.29224626712808105,0.8977492079903133,0.1555336600676057,0.7461089039464947,0.22670304871846733,0.35859432728466195
11,16239.989768982317,5825.821374438528,8188.321581953554,1369.7833077407813,1013.394105210451,-157.3306003609996,-29,-137,13,-11,47,292019,723705,-15145,8478,-9968,1.1834575152710616,0.7213134254666835,0.29780820544442915,0.6767201997954612,0.506933476421675,0.3914526659679551,0.10730988994273502,0.6967527166579675,0.09979893837460456,0.8013069437952677,0.17160700508763255,0.12221399143461319
12,19197.20595255757,17332.136386480124,-2086.9681372748455,1729.5585966297986,967.8544172441161,1254.6246894783762,-16,-105,-20,-14,76,172733,551166,25140,11644,-17084,2.3332959212831157,0.8696394766877938,1.8381515567296574,0.9077274978445612,0.23869393220296933,0.1087829893474354,0.105192572296522,0.8071870924405307,0.1131030826390758,0.866397906918023,0.03815477741489242,0.627196604929061
13,7864.297636764815,18332.966567651543,-16434.111335690017,-2527.332842034448,2181.0259022398495,6311.749344597887,35,140,-26,35,-145,-346592,-719984,36545,-22377,36157,1.1370925251660513,0.263673696037458,2.3551539525198613,0.911789478510277,-1.8529330932983197,0.7922606665683904,-0.2235672824872066,0.4818754916971013,0.14099516734231823,0.28241455898678436,0.7174437810894208,0.6157816414767504
14,14135.655825841732,5319.88720972318,7507.643245433341,-483.95615750762954,910,882.0815281928419,37,53,-25,0,1,-365173,-265551,34075,910,717,1.2877098203592314,0.5405552183874586,0.4097214906380094,0.564075360326597,0.8295410325171654,0.4342504698484287,-0.11889377725803324,0.2619163377809028,0.09576344809482995,0.9240080922113391,0.07157762636726861,0.5313272063521882
15,11868.919489761462,10135.781966790262,743.1414918326773,-1173.766492765346,2199.2685209169904,-35.505997013121714,-1,-96,-21,-13,3,20200,509699,29766,11646,-754,1.407780267608743,0.8840749687816506,1.118740764299092,0.9193871746275722,0.30569232821741377,0.27124651156351803,-0.2208599937715019,0.6073687820586899,0.20977846565522326,0.936179818224108,-0.005571296791491669,0.15921510550654036
16,2560.4859588821337,-1324.117880645208,1380.7954301538412,1878.1048555412453,-38.282723022417485,663.9862768546727,92,-46,10,-8,-23,-892732,247091,-10933,6627,5412,0.37268673210468994,0.30931827002534684,-0.031045591707652816,0.0043348991775982145,0.19332314764413944,0.21970559665303885,0.1948464040480622,0.9461888925699629,-0.009062993465901628,0.02285909474501018,0.024625765586042833,0.3274495400023388
17,21228.305103906012,2345.119298560603,5527.057188759791,4017.6739628593714,1491.5695214817797,7846.885132244468,19,24,23,4,-161,-187855,-118005,-28002,-2616,46015,1.7564684554473127,0.9314268848934825,0.3234002748286694,0.5315751267439797,0.6019612545498211,0.7428451731149955,0.3756470796410106,0.916828310369443,0.15965136445936512,0.9843152062548692,0.2958084819684531,0.4842669925468689
18,19181.69483828619,7977.527380765823,4220.267010284006,1597.9095787798342,4942.241210994336,443.74965746219095,-51,-57,11,17,-16,520003,305158,-12867,-12371,5459,2.071146652126563,0.7940385347678693,1.1938291748140197,0.6781757474653389,-0.15641322794763024,0.025080463596628057,0.10964126199400118,0.8682457257778902,0.6563897451230413,0.9747757967998683,0.2676996981431355,0.21978431317604835
19,-6011.04913893758,-15209.46089625149,8252.460383732105,639.9288846943837,1381.460002606971,-1075.4375137195493,68,80,5,-10,13,-681256,-413884,-6040,9823,-3430,0.647383294704178,0.20335219039280988,-0.37167855821126766,0.08702158736022433,0.8535660247846913,0.8870324589893003,0.11340698020773927,0.7661208992349567,0.11189005733141118,0.6740526290598583,-0.05980120940838921,0.1960624674842014
20,-472.47077275607126,-4432.63953600009,856.226908378012,1697.7069020425479,741.8917965331525,664.3431562903061,30,8,30,4,-106,-300045,-40770,-38408,-2370,29148,-0.23617368798634988,0.030788440603068276,-0.4244744549230218,0.44630062042949475,0.1474870702579616,0.04074058694637734,0.14161525939081746,0.5612349635774212,0.07474754052697138,0.8653997930305731,-0.17554910323908188,0.025458493418785543
21,6314.979072381026,5323.403795484337,-3379.6120336302556,1088.1656645656913,-202.56060459501532,3485.5822505562683,-70,-84,-18,-23,156,692057,450721,24407,17925,-38365,1.1970388983650528,0.389735960831126,0.5215990454825751,0.531344141205662,-0.3574083963486286,0.3394686247136885,0.13376024244638196,0.8835162913595902,-0.10651152233629226,0.279145147124144,1.005599529121006,0.564964701712391
22,26370.97328285117,11556.883208518033,9627.734135661653,1820.6086414691308,1333.8629861636327,2031.8843110387215,49,-2,-9,16,17,-490205,20060,14000,-10716,-4112,3.103857205248709,0.9754949023448807,1.423906625316215,0.9261965770437888,1.0865991243996918,0.9652158825941027,0.17215777481561947,0.9141809185886421,0.15132172478723438,0.9339345649578042,0.26987195592996266,0.8669000236011912
23,19852.69182649719,2849.2754835094092,11448,3943.290749595624,933.2527582303023,678.8728351618538,-91,0,27,3,13,917843,11448,-33210,-1514,-4882,2.6007441967233498,0.9021094744262114,0.8078458556610096,0.5729991609739562,1.339277092170732,0.9466880389858434,0.3003435864051268,0.8259768092962483,0.10142931275488604,0.9484197316189634,0.05184834973157342,0.728310497132671
24,25180.15835204828,14408.631919924635,8054.961693408986,-238.31698492567557,3231.1241141292194,-276.24239048888376,124,-50,4,11,39,-1234142,269855,-6251,-7782,-10458,2.1135288280008537,0.5061692998782996,0.9963925911993633,0.36246646562171314,0.9148173248173463,0.4455406762426055,-0.0767563651352542,0.37257879951499695,0.3139992959221874,0.9287639768824574,-0.03492401880278936,0.1237023620898463
25,13645.050451287243,7636.318863022607,5166.272845685453,-530.9224954996971,1461.6921385352625,-88.3109004563803,44,31,21,-7,-22,-438349,-159860,-25160,6475,7130,0.8465239396322042,0.6194384073157908,0.6752972388829449,0.946088075348095,0.03535617232519667,0.0023251556224445193,-0.008058547903438148,0.0034235905430567938,0.1617484305908494,0.9084990009220089,-0.017819354263341927,0.07787306890678634
26,4478.467460667629,-240.4761978238821,8521.23352337809,2004.638136540936,957.0950740314547,-6764.02307545897,-73,76,-2,-3,85,748489,-393503,4559,3216,-22093,-0.620315115889556,0.1841842873926331,-1.0624402571546152,0.5374691300970939,0.6687874488514985,0.7335064503515786,0.20295778318565022,0.9187483277249077,0.11360185943444648,0.8538666024756374,-0.5432219502065218,0.27776692599761815
27,11022.453761861841,10968.268768914626,-3855.9514676377876,2476.4901243106433,1168.482954261488,265.1633820128718,-49,97,-52,-4,25,493626,-498879,69341,3536,-6068,1.149256120213048,0.7529000779832002,1.3150935100526167,0.8665116825815664,-0.3644878474893399,0.4530623088224985,0.11672974939219047,0.18625108094916482,0.13462312048889966,0.9211394983779952,-0.05270241223131161,0.18632191385186106
28,9021.88091368972,3963.566701428732,1103.7008019069326,1090.8002970971288,756.8986037628656,2106.9145094940613,71,-84,2,9,150,-690443,446929,-1363,-5485,-50975,-0.45175618235745296,0.0866337717468898,-0.473283879129176,0.23687062824560298,-0.24702756683135213,0.09189424799971907,0.07888056347555471,0.79245130899083,0.09458823339600404,0.9039861187315431,0.09508646673152457,0.040935505195456766
29,7546.462947112761,4342.527527084632,3927.476313967549,1833.052648190489,304.88274286598426,-2861.4762849958934,-4,44,13,-13,-163,44773,-224033,-14683,9871,48684,2.0469252919244747,0.7779953661227905,0.5409510064324866,0.8572742901567062,0.6894681923249454,0.736554031443179,0.12254925462931632,0.8766745612105595,-0.01528041424821165,0.01305942066629462,0.7092372527859254,0.3767719112745321
30,6302.866803394695,952.0998236639425,5015.464888874092,697.5810162653142,-437.8477768546677,75.56885144601415,31,91,40,-3,7,-303173,-471458,-49851,1464,-1810,1.0581629847406095,0.5192684229166679,0.481665852429676,0.18634601069867074,0.6011966865278663,0.7130150533476306,0.06694174676119258,0.1308450029314269,-0.10148204326230585,0.5624630135625598,0.009840742284172548,0.2594316333890566
31,5221.408761257258,10689.065658167878,-9064.707568310201,1122.352792033922,821.8587427570892,1652.8391366085707,-33,-30,-22,-2,-79,339504,144181,27831,2209,22958,-0.022975600950801634,0.0012596356529380424,0.7401184704460517,0.6344590929080552,-0.9989530629298097,0.5688796990549859,0.0885273750673239,0.4377459982597702,0.06384479255066419,0.5362418556878933,0.08348682391497822,0.3496294907023746
32,25485.381313551145,14399.218645881134,8294.846871128015,2003.200757330218,948.9730695618109,-160.85803035003119,-26,-88,28,18,8,270850,466525,-36284,-13345,-3087,2.8537607837734367,0.9541603657120392,1.799217199336949,0.9078531126197306,0.7193983157188883,0.8642670048399873,0.1969963761782729,0.7587281503764491,0.142415096043473,0.6748183178544935,-0.004266203504219849,0.03746089364786246
33,16243.081983013655,1294.7167143774277,10295.721131670929,2193.5371636820782,686.7945963550096,1772.312376928211,23,-85,9,4,-6,-222629,462252,-9624,-2474,2707,2.0864351279235027,0.9214579313540853,0.42814214541602247,0.530463153045919,1.168702347613774,0.8499084038067266,0.2404454095329027,0.9012686064654206,0.04263279374293616,0.6922977441457722,0.20651243161788163,0.8597773630848251
34,2488.7447826500156,6081.952010025678,-3246.626257209282,705.7447244896503,1502.2600810748172,-2554.5857757308477,9,-78,-19,-3,164,-84661,415141,25944,3454,-42236,-0.09877866428551167,0.017365796853934103,0.5207441564986381,0.9487542744960566,-0.7003725935453697,0.6472162367882173,0.047570747520218726,0.31776485582742175,0.1736425371700096,0.9376652495101794,-0.1403635119290205,0.059045816873793344
35,17286.779406076403,10720.122295673063,9682.277130457209,1158.2324766073089,1019.4793946294981,-5293.3318912906725,-42,-15,-11,-5,83,415822,87992,16885,4953,-20919,2.8154302125376414,0.548563735728481,1.3162921529699838,0.8212560979806411,1.1242366162112973,0.6758530651321099,0.06738414222375708,0.6650623868546889,0.15949903868432877,0.9007511217268342,0.14801826244828833,0.010458574862889897
36,29256.23536041763,16138.691724818316,12757.990137502493,1161.4991344486455,1017.8284004903135,-1819.774036842136,-85,55,-1,-4,11,846769,-275095,2374,4004,-3730,2.314680345083322,0.9126518263479743,0.9866443112583593,0.6549868648781471,1.3261499715891398,0.9736673963680835,0.139704362892959,0.7926041786174485,0.09048986990142154,0.8995840540128313,-0.22830817055859964,0.8892744174169444
37,-1782.2668993871712,12573.925388282863,-21844.640752158593,2114.718203413533,703.5004907029352,4670.229770372091,-104,104,7,-3,103,1051203,-533884,-8129,3326,-24272,0.3664038418755943,0.06827578242127824,1.382915190748351,0.6794101691231458,-2.2562340119483006,0.9787765550655113,0.2147308941161054,0.9653930073846024,0.05700012062040585,0.8543774714579615,0.9679916483390542,0.5745784937051459
38,28519.641319126153,14440.404917963198,10094.543875302537,2639.7348321951704,1122.4783165677009,222.47937709754478,68,-100,6,8,-160,-681550,537004,-5273,-5396,45860,2.561982466167971,0.928409652128314,1.4851529283412548,0.8611348521883696,0.8497904461408543,0.7532079410540172,0.2646133056200337,0.941931318737947,0.16450610512510458,0.8405827055577381,-0.20208031905928722,0.09109239728400097
39,1043.867110322271,3566.549964349193,3519.7935372440843,1688.5394342123209,1086.6155145744538,-8817.631340057782,52,54,4,2,36,-516571,-278579,-3297,-422,-7770,0.15915735282371493,0.06248100911958137,0.819968229063289,0.90416283848312,-0.2001013399820756,0.08627047648848973,0.16267972234617695,0.8923610028322331,0.10744662779317253,0.9403495429206473,-0.7308358863968478,0.8577430545719877
40,25114.44214404229,13395.328051572433,9733.251992319245,1516.1252215641077,2264.162094519923,-1794.4252159334217,-65,-144,-1,-13,11,649466,764350,2909,11797,-3404,1.565091213219295,0.7379327915404812,0.9252321230583452,0.7865209769792874,0.4347460197243753,0.2960729930235435,0.14659364085077767,0.8898021984929368,0.2559468299457697,0.9391306712781576,-0.19742740035998055,0.6583609799567356
41,11359.03120703459,10208.988283466664,-5515.129550742102,2263.3104681965633,2855.017335564313,1546.8446705491506,26,133,20,19,18,-255360,-680159,-24723,-13030,-6089,1.4336419858410931,0.6388491413412419,1.3331669800147887,0.8380827161836648,-0.49682290058935663,0.4288425958205972,0.19511523827615715,0.906129385481336,0.29660450054511983,0.7985798715030422,0.10557816759437397,0.8216205378364019
42,27154.040857719963,5048.181060734438,8000.212018786111,1835.2953108390436,899.4849645827819,11370.86750277759,-26,5,1,-2,-156,268116,-18335,492,2438,42816,1.9774638713668489,0.6500993165762998,0.3413709376617569,0.23733615423422766,0.771594168013559,0.876225561659812,0.18685048422575856,0.9648495906673042,0.09671560344149424,0.9322092672584755,0.5809326780242663,0.2633748063153181
43,-869.8369747297565,2732.084718469385,4736.468513653992,402.5597948055074,1035.784764270009,-9776.73476592865,-25,40,-20,9,154,247072,-203888,27956,-6142,-38187,-0.9346985605343096,0.5159372140594187,0.4009177554043019,0.8587190251166329,0.13497969170025106,0.060414033402283,0.0903375178738432,0.6402190751890121,0.13861156238187403,0.9191727398942584,-1.6995450878945655,0.8414101432892003
44,20977.169332183734,7450.501249633555,10219.851345361618,2107.853310280835,1087.415723360072,111.54770354765384,-16,94,5,-1,-1,167862,-471490,-4415,1893,514,2.481828867742331,0.9554688517215227,0.6742810778051901,0.9392730799188215,1.4699036796449032,0.9055771851981569,0.24684390765717532,0.9667541517117176,0.09775082375293317,0.9520780156540404,-0.006950621117904346,0.05998158520823986
45,1289.215458687666,-7482.042290159472,771.0417349808849,2861.6911984910985,536.233273078522,4602.2915422966325,-21,-85,24,9,85,208772,456824,-28828,-5669,-24945,-0.06431922835130922,0.006367934272968231,-1.1037872941910547,0.859396519059652,0.25122103353522807,0.45124186693426366,0.28826362444363096,0.7685530499190005,0.060008428478012944,0.9545970562623142,0.4399749793828689,0.45914464076627604
46,30567.078093230175,8050.826671207295,3081.7416576625837,1456.4378647733351,1575.6507103355912,16402.42118925137,-14,-48,-1,-6,-100,146669,261068,2835,5473,31362,3.727385820456765,0.9678395759883868,0.7952495887844618,0.9592210205899833,0.7007222890006037,0.7750010795965504,0.15646502162828474,0.9500146803589706,0.1743759691658443,0.9797603991069924,1.9005729518775347,0.9560566087856973
47,-1270.1686554586959,-6938.008092271513,4428.5750223781215,692.5479646393287,-548.6292110721952,1095.345660867562,105,54,-8,-20,16,-1038464,-275751,10579,15506,-2704,-0.4244798628612728,0.03718888858784925,-0.6508840525578936,0.1045973760469777,0.24886854672546216,0.1074993937324111,0.012640319159191416,0.01998048724488464,-0.10666303648572366,0.4840242708957126,0.07155836029771506,0.29965871440925057
48,15886.64717371887,5118.189959207899,6956.156125182053,1140.6785404815928,1662.955657035769,1008.6668918115561,-44,-90,5,16,-16,441574,479797,-5092,-12012,3269,1.203514320905085,0.8130780549672691,0.4954510766624215,0.747775662100142,0.29047281286334004,0.21080525004787481,0.10241807899078693,0.8959460409367827,0.20108588295036045,0.9270288912265987,0.11408646943819603,0.7191147136989187
49,-13238.944360247162,10884.108565706993,-16349.743378372164,1510.0424787197044,1198.0417169766733,-10481.393743278368,-69,-133,22,18,-59,683897,712662,-25168,-14606,18984,-2.376941100335873,0.7420375044966029,0.0923892249854173,0.010806420706663735,-1.4484185208401903,0.5945779563288734,0.20929268785377517,0.8598691980182464,0.0687408989637703,0.3020944036795021,-1.2989453912986626,0.857100920273433
50,7509.129348647968,-899.8567834462156,2791.387664998183,1760.3079344210782,855.5024241481296,3001.7881085267927,22,68,-25,-7,-36,-217310,-352066,35522,6473,8627,0.9062719957087993,0.5808186378557575,-0.006255598101964031,0.00006701125540789126,0.4141001328965603,0.22430719691540582,0.08496833818928365,0.32679736667688863,0.09618653358484873,0.809808609247111,0.31727258914007234,0.560895217548116
51,14509.289891203196,6567.682353530428,5177.2490826883,551.4089933931318,2077.022202774162,135.92725881717297,-33,43,-49,15,10,332470,-217153,62031,-10714,-1311,1.3926719711270379,0.8296333071726575,0.6903132509955626,0.860040904126803,0.38910829621940357,0.21205768591740543,0.10286953162568292,0.12391113929579504,0.19614416609962892,0.9142887957289586,0.014236726186727397,0.3457073925915673
52,10173.058006011823,8523.948235717893,6330.432378755941,363.16902712785304,1724.3724092149641,-6768.864044804828,22,-60,20,20,101,-202383,330242,-25524,-16200,-24063,1.4524893808688222,0.6086551650290511,0.7528830862395363,0.6140785584232535,0.7427708864780165,0.8234893592694111,0.09873542087957353,0.3157942680579256,0.21377867513227114,0.946096692842016,-0.3556786878605877,0.16002038558045417
53,13363.48134424209,1951.954530943185,6541.775372275268,3014.039585012455,1682.9310221876185,172.78083382356272,31,-116,-20,1,158,-305062,629563,26451,981,-36680,1.4684163695309498,0.9499965580649641,0.14773345578255917,0.40567584759421216,0.8063574940936165,0.9071383222821636,0.30518039971970085,0.9154043999849344,0.17218265750981368,0.965675407276992,0.03696236242526567,0.6941695930501722
54,3815.9292606699355,3085.0789142453577,-690.7555506923236,2282.8704280540696,996.4632251540716,-1857.7277560912398,-28,-181,-12,-9,-21,286000,958050,15995,9302,5844,0.6124569836131817,0.4441839720558657,0.30070068042716563,0.6685777653302618,0.17876469948590845,0.06004581193653789,0.21454545201258826,0.916054665556115,0.12475974113801191,0.9150423244714831,-0.2063135894504903,0.7764385118292194
55,18080.321440449086,9211.890175053268,4557.271873660386,2144.6798541975804,501.876191575187,1664.6033459626633,62,129,-10,-4,-25,-612398,-666256,14335,3589,6898,1.5436705701026596,0.8334279413192275,0.7717276150911924,0.8109646170843339,0.45695040296890893,0.4588626913153162,0.2649234817457092,0.8759351581162994,-0.013632732530087788,0.013080035243560375,0.06370180282690904,0.11720956217681602
56,12464.702725886837,164.46106779804904,7608.790478479117,1704.5088772719037,827,2159.9423023377676,1,-98,-4,0,-75,-10068,527425,6405,827,24671,1.1736566488065308,0.832381752260061,0.10456994218718182,0.09001154509285174,0.8127457400849207,0.7819316875870259,0.1947655763039741,0.9218819319380722,0.05348834100843293,0.2725088156558735,0.008087049222004067,0.003480969951101482
57,11350.436168315226,10311.930110058165,203.1030388082727,-2014.216992283502,2167.609414051248,682.0105976810412,68,31,18,3,-11,-685723,-160145,-18144,-586,1520,0.9971849132262561,0.7355733813885135,1.3053594680399623,0.8614647520100747,-0.43317588870568596,0.520644031944135,-0.17860524861426816,0.6718584583397322,0.23805437341978142,0.9538144868773513,0.06555220908647424,0.738521757973779
58,21589.255317958894,13921.381669338502,3750.444340300557,2705.507851800674,799.2189551872062,412.7025013319544,-30,-23,-16,-1,5,319258,125589,21700,1592,-1007,2.2963259287621756,0.9351544182248728,1.3121302789600386,0.9377861871829793,0.5930699150691853,0.6513635373724158,0.246533317252428,0.8735557710281289,0.0811874849023965,0.9356365000210327,0.06340493257810059,0.7702946437848682
59,14957.319720972337,5948.6173110760865,1699.2909543882124,1510.6936905571747,1948.872223495011,3849.845541455852,18,-63,-22,22,40,-174394,337255,28276,-18061,-13811,1.2806127093810606,0.7787121738505842,0.8336707455905994,0.8632580109320211,-0.06760994384525394,0.012574522417704721,0.10550080281343048,0.1533364061029343,0.16662767614824375,0.4511342742852356,0.24242342867402503,0.6201654680016858
60,4806.989581224557,2286.324108354631,2042.4956112480577,691.8503222760992,-214.34902919460546,0.6685685403745083,55,-12,-41,10,27,-547450,65739,54398,-5139,-7627,0.45966079300349133,0.34520512732506914,0.15931111594609426,0.3079640873378987,0.3726428667056547,0.2685820901149648,-0.022011242585104902,0.021137360034293496,-0.05269830246297532,0.6447323506789867,0.0024163553998173917,0.0016106806799387533
61,-1264.8130876402993,-14433.008680337574,7237.730974025704,-1143.5269899769937,749.9927177284262,6323.998890920138,114,-47,14,11,65,-1115593,255805,-16664,-7756,-15431,-0.2661649398459452,0.03454776626395967,-2.0502490258459303,0.7585697891007043,0.7420929588771414,0.7124829404577973,-0.10154956945128726,0.4293715385722693,0.042094939373289945,0.43402743753224043,1.1014457572008391,0.8341933190938414
62,28608.51914040274,14670.32947919215,7732.300056466134,3090.1312933461704,1175.5739444494284,1940.1843669488553,104,54,21,10,66,-1054017,-276151,-25427,-5949,-15613,2.799622199326961,0.8654675771788131,1.4051014609193122,0.8976693700188529,0.7039024125849546,0.4385021732413782,0.2929158128627029,0.8310656700369285,0.11348036616004842,0.963872706526268,0.28422214680001406,0.3255719222995794
63,7367.009674284408,2857.6283137822757,289.2662232617731,1867.9689565738008,1100.3408554389944,1251.805325227564,17,-58,-12,8,-23,-170772,312631,18279,-5704,6798,0.5223334431819323,0.4240216378635861,0.20913028667087688,0.38344060070727853,-0.08142572112886358,0.03274952576220238,0.24298741389293743,0.9199481348061845,0.11171968029359373,0.9384845432851299,0.039921783453380294,0.19701550711823163
64,13723.457193978522,766.4814503157395,12154.366609283199,115.23828755043814,-220.29782950351,907.6686763326561,-32,-67,4,-18,-48,321999,365725,-5867,14712,10397,1.2035076661095632,0.7218616902636351,-0.1896094984377314,0.071649551101019,1.1535364124151268,0.9348439246385342,-0.04058712503789433,0.5591977306612409,0.02779925507132924,0.12885988106364785,0.2523686220987376,0.5568980881733437
65,-2855.164624422536,2944.660858592484,-10398.507970322156,2970.565952793644,811.5660838488238,816.5504506646685,106,112,18,17,-78,-1035583,-579068,-22352,-14131,17739,0.3025518424232471,0.11620819117747011,0.3280349622605411,0.2432430458045913,-0.6699405907111575,0.4634878811902412,0.2468677279891062,0.8998662591735479,0.11142286225741564,0.7519337646595636,0.28616688062733003,0.5261377178967638
66,-6855.069454758006,14771.95942231179,-3467.5023824637174,1384.4635756572538,1300.9382304796736,-20844.928300743006,6,41,2,6,151,-46250,-214261,-1118,-3454,-37569,-0.4503247380359582,0.05721800754930481,1.7241310986320726,0.8225764223042605,-0.9314491592684173,0.5912030235589896,0.10989385182904422,0.7114366431826012,0.15656036131696882,0.9378256891237555,-1.5094608905455935,0.5405984303490388
67,22793.319870747444,10560.14472052337,10237.27353901221,1437.2911807998753,582.6116267242214,-24.00119631223606,9,-12,-7,-5,37,-78096,73210,10081,4741,-6994,2.5970062055098455,0.9566385455450478,1.3814229962062499,0.9278395814438294,1.120461378239669,0.9267566565303558,0.15344841429942613,0.9550440854159792,0.030434548968689745,0.5064047004191562,-0.08876113220417507,0.07880775666501427
68,15448.795059115151,9550.849440270831,4962.073869724525,891.6235699470762,944.8719311566537,-900.6237519839333,12,-74,-9,1,30,-110543,397088,11114,304,-6423,1.5635777285741177,0.9049692981246816,0.8601207416969887,0.8343465703860773,0.5509894675900315,0.7497582206511205,0.11560216917672934,0.7988094313859511,0.07962607157499417,0.7786705032325788,-0.04276072146459742,0.15496391351186312
