number,value,params_DISABLE_TAKES,params_EMA_ALPHA,params_MR_K,params_MR_MAX_FRAC,params_MR_MM_LEVELS,params_MR_MM_LEVEL_SIZE,params_MR_TAKE_MAX,params_MR_TAKE_Z,params_VAR_ALPHA,params_VEV_BASE_SIZE,user_attrs_params_hash,user_attrs_train/metric/cvar_5,user_attrs_train/metric/mean_pnl,user_attrs_train/metric/median_pnl,user_attrs_train/metric/p05_pnl,user_attrs_train/metric/sharpe,user_attrs_train/metric/std_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/HYDROGEL_PACK/mean,user_attrs_train/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_train/symbol/VEV_4000/mean,user_attrs_train/symbol/VEV_4500/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_5,user_attrs_val/metric/mean_pnl,user_attrs_val/metric/median_pnl,user_attrs_val/metric/p05_pnl,user_attrs_val/metric/sharpe,user_attrs_val/metric/std_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/HYDROGEL_PACK/mean,user_attrs_val/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_val/symbol/VEV_4000/mean,user_attrs_val/symbol/VEV_4500/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
233,2.40057490034345,True,4.308428675778431e-05,0.06099200122271319,0.4925933073268412,1,14,48,4.217298810150091,0.03588256506509171,3,c2afd47b5677,-2973.644391469194,10476.687176639884,9839.211796823058,-96.58039651458199,1.6502706218263805,6348.466147355377,80,10476.687176639884,6348.466147355377,4105.588295912248,4310.814734665935,1308.1201170268148,752.1640290348853,-0.5273819878646102,-56.08459731835546,11036.659316020416,11670.13000198645,2494.6065523064894,1.8298994163378541,6031.292877347264,20,11036.659316020416,6031.292877347264,4252.5980032111465,4335.127997195401,1582.7927528582534,866.1405627556157,2.92795688820806,COMPLETE,2.6634243754143836,10883.807168953592,5999.360288718293
351,2.4538554652277775,True,9.60930565528529e-05,0.0597009142310693,0.5756582871480043,1,17,24,3.950088708469303,0.02194146457617409,3,72210c3f1721,-2196.6613560861997,10684.260574005544,9929.68958473999,48.20264599402609,1.6050955434358432,6656.46392060561,80,10684.260574005544,6656.46392060561,4105.588295912248,4518.388132031595,1308.1201170268148,752.1640290348853,-0.35684074494218176,-1729.9483395117081,11400.780062222819,12532.633621985522,3084.0010420760277,1.843613037898848,6183.9333026285185,20,11400.780062222819,6183.9333026285185,4252.5980032111465,4699.248743397804,1582.7927528582534,866.1405627556157,2.8106962101699593,COMPLETE,2.6626230372696624,11254.319049829694,6262.493574711185
244,2.4100416916646457,True,5.657092673553334e-05,0.05550103819230389,0.44610334334268603,1,9,42,4.799193487788217,0.04710274230298667,3,98c599d3ae60,-2867.159584236111,10436.702342743281,9800.441332579954,-46.99887517776805,1.6530874158139284,6313.460645155645,80,10436.702342743281,6313.460645155645,4105.588295912248,4270.829900769332,1308.1201170268148,752.1640290348853,-0.5687788233765603,335.71084966783155,10925.640604645445,11629.004645223704,2398.758647776591,1.8526853696098782,5897.191602989809,20,10925.640604645445,5897.191602989809,4252.5980032111465,4224.10928582043,1582.7927528582534,866.1405627556157,2.978820515041206,COMPLETE,2.6530055322393853,10822.81825489325,5991.605118961322
264,2.3969938014317913,True,5.7835781861762865e-05,0.06043571117659083,0.5033774505306331,1,10,49,3.1213511154145896,0.04162267839690564,3,13841d3f260c,-2959.3510720944114,10448.66948617904,9776.211796823058,-31.554097442484206,1.6480619600233288,6339.973702221206,80,10448.66948617904,6339.973702221206,4105.588295912248,4282.797044205091,1308.1201170268148,752.1640290348853,-0.5262536017992878,-15.289150332168447,10952.902939948905,11784.28615761514,2375.046324655799,1.8294860242694053,5986.874343204061,20,10952.902939948905,5986.874343204061,4252.5980032111465,4251.371621123892,1582.7927528582534,866.1405627556157,2.923247403231079,COMPLETE,2.6528223650643445,10855.42273238501,6007.212727879769
332,2.4183082322881404,True,5.002984321757283e-05,0.05577473917103301,0.5007408811181272,1,9,42,2.655773375701278,0.04907154592284781,3,32b91fd129ee,-2826.8972819101655,10447.079451298832,9857.441332579954,-46.744841884470944,1.6562900153492734,6307.51822113459,80,10447.079451298832,6307.51822113459,4105.588295912248,4281.207009324885,1308.1201170268148,752.1640290348853,-0.5390720848279624,212.8131261747235,10917.562102373447,11628.004645223706,2336.5637616019344,1.8443427942612853,5919.4864080276675,20,10917.562102373447,5919.4864080276675,4252.5980032111465,4216.030783548433,1582.7927528582534,866.1405627556157,2.957380317116103,COMPLETE,2.6515753649733345,10822.803531108242,5992.326725702495
372,2.415684453580468,True,3.411997154507343e-05,0.060274682607157695,0.374918540097136,1,9,44,2.260772453796028,0.03150660801430712,3,1aa7acdbb2ff,-2813.654211471412,10447.086891113127,9741.74918772861,-51.397433552151014,1.6523411856162962,6322.596678007839,80,10447.086891113127,6322.596678007839,4105.588295912248,4281.214449139178,1308.1201170268148,752.1640290348853,-0.58420956474674,387.6085731609396,10922.122210567606,11665.02567150283,2498.578651870719,1.8689209399543534,5844.07931714563,20,10922.122210567606,5844.07931714563,4252.5980032111465,4220.59089174259,1582.7927528582534,866.1405627556157,2.999894018327208,COMPLETE,2.6376428160742487,10828.226717567755,6024.3678598964
307,2.3928407183790736,True,4.28906296022557e-05,0.06965737319382981,0.5819288877309713,1,12,34,2.646509539566953,0.046871867464485684,3,9b0cbe86a989,-2951.5523830541647,10477.960582496353,9853.519569168368,-32.87635885566952,1.640199898434855,6388.221699376306,80,10477.960582496353,6388.221699376306,4105.588295912248,4312.088140522404,1308.1201170268148,752.1640290348853,-0.5487265618502541,-20.289150332168447,11024.343660737399,11752.039702837232,2492.4337656960647,1.8411618291888048,5987.710306591898,20,11024.343660737399,5987.710306591898,4252.5980032111465,4322.812341912384,1582.7927528582534,866.1405627556157,2.941567280229328,COMPLETE,2.6268272262740084,10868.930379198584,6047.981439463695
382,2.4107788953077636,True,5.4678222821053215e-05,0.06426646901904261,0.329418663381412,1,9,49,2.947166109481506,0.022469220670904923,3,785a532f9e2d,-2818.697800030066,10423.376618144655,9769.500875694546,-227.72635885566962,1.6503110134963046,6316.007427025509,80,10423.376618144655,6316.007427025509,4105.588295912248,4257.504176170705,1308.1201170268148,752.1640290348853,-0.5340994612068051,80.60857316093961,10947.82406924647,11744.02567150283,2435.5660929109804,1.8420350922738276,5943.330892644592,20,10947.82406924647,5943.330892644592,4252.5980032111465,4246.292750421454,1582.7927528582534,866.1405627556157,2.9448783565145686,COMPLETE,2.6230646549326924,10814.49081574406,6031.1531592145975
308,2.425554656528903,True,4.615257344105581e-05,0.06767130274177449,0.4255106067131421,1,9,42,2.396525478413354,0.04388312971544102,3,0bb4b5da8916,-2694.602105528144,10472.13922035977,9704.434626578437,-123.41191348578755,1.64780094504574,6355.2210306986335,80,10472.13922035977,6355.2210306986335,4105.588295912248,4306.266778385822,1308.1201170268148,752.1640290348853,-0.5328861141563985,-4.595979852902474,10995.542394998676,11778.695858465922,2600.4058652602885,1.859346129170724,5913.660841568392,20,10995.542394998676,5913.660841568392,4252.5980032111465,4294.01107617366,1582.7927528582534,866.1405627556157,2.9584407706853013,COMPLETE,2.6188527870442795,10820.437381728138,6052.947334794121
201,2.4144756494102486,True,3.846336863222252e-05,0.06809931783080472,0.4443133326785085,1,9,45,2.56501808954308,0.031449602420731894,3,94d04199c9c4,-2774.2209498391203,10455.615463698383,9625.41604365656,-124.76189620391376,1.6463361980243219,6350.838593141301,80,10455.615463698383,6350.838593141301,4105.588295912248,4289.743021724435,1308.1201170268148,752.1640290348853,-0.5720291098879557,171.40402014709753,10998.527763515118,11908.539702837232,2610.943306300553,1.8695115809319827,5883.102236805706,20,10998.527763515118,5883.102236805706,4252.5980032111465,4296.996444690104,1582.7927528582534,866.1405627556157,2.9865047592982044,COMPLETE,2.6156207276706778,10831.810561902323,6061.734730303619
