session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2
0,2564.810716049081,-3455.5291459067957,4776.050335731401,686.8007425714695,557.4887836530061,-36,2,2,-5,369839,-5791,-1730,4560,0.8258414123895508,0.8210057076121327,0.22999902749724951,0.3013858045482745,0.565267995761746,0.9545565734941525,0.0039554746801511885,0.0006061618292232061,0.026618914450392345,0.22416909246808867
1,10362.593371913432,5590.211601287534,2762.577092736263,1161.7320107896157,848.0726671000193,18,3,-11,-20,-177247,-12515,15595,13940,1.281424897344277,0.8732838387938456,0.6604350024140856,0.8812101358038094,0.40594708509006855,0.48474030984568095,0.1203879341513921,0.8310058318136603,0.09465487568873371,0.7505454223614911
2,7648.343861675956,3230.407306572277,4430.698050078412,-980.793248113172,968.031753138439,-25,-19,-28,-8,257030,103758,35598,6925,0.7872661478082027,0.7511513553767563,0.32369779499428847,0.4502770941519512,0.5319053807204104,0.9385153637307861,-0.2057896371405074,0.34251952376630856,0.13745260923403438,0.5209004699279793
3,14167.845601718847,6879.359551065427,5439.149138789857,1430.0550770633272,419.28183480023563,26,13,11,-6,-255811,-62724,-11441,4770,1.3835566291829622,0.9280074542213773,0.6659790916761189,0.6720811358318624,0.5054037725618761,0.9141567768657191,0.18632894798904082,0.8811890894190214,0.025844816955924728,0.11402579949446556
4,16707.100306142092,8275.649352447246,6680.996835090045,1319.7567649408356,430.69735366396617,-37,27,-8,-5,372240,-134529,10778,4893,1.9327426442399294,0.9054511886731632,1.0456050620642148,0.8051972323699399,0.6756420314067348,0.9039927506783002,0.1637479286393206,0.7721787808411785,0.047747622129658884,0.6525600848723312
5,9394.835459190384,3556.5834866225487,3626.252181888958,1422.0106248042457,789.989165874631,-21,-10,4,10,211496,57357,-3170,-7372,1.1240295086449776,0.8880542665810639,0.46291170190581693,0.8195794368455831,0.45557142833378916,0.6210299401797802,0.13056881382763658,0.7362053056664541,0.07497756457773706,0.7515129492391934
6,2585.6327579801487,-1434.812075108901,1784.8872777745273,1402.3497948521108,833.2077604624114,-23,-23,-14,4,231361,126451,18054,-2199,0.025309342552037324,0.0014062421527099122,-0.25642880539347157,0.18639240758039918,0.06092549752334968,0.046492949844705526,0.14736547866681274,0.9260436980759749,0.07344717175535057,0.7859997633750095
7,8515.478021485951,-1521.6294763031183,8074.361653858912,872.6291439724264,1090.1166999577308,80,-46,-23,1,-791236,251817,26183,368,0.8431672840675243,0.836840557905495,-0.21088763798628865,0.2844850739007861,0.8509045763412078,0.9733042694711834,0.10619069941941539,0.6229898826745784,0.09695964629319513,0.8965125752900465
8,6332.497316696943,1975.9086261819757,3741.62039463767,1141.798114604033,-526.8298187267355,-8,4,15,-24,79814,-17992,-17978,18971,0.4236884566970456,0.7478983803328375,0.03828546162368604,0.066779760650522,0.25244988983072875,0.6860437006643201,0.1261939060583097,0.8028891545954749,0.0067591991843276664,0.006997739088187535
9,12038.395947077315,6179.940539491276,3340.899311010551,1509.7775241435556,1007.7785724319328,-7,-52,11,-25,75308,276659,-12135,19896,1.338181191845802,0.9160760499823322,0.6214937654221674,0.9580847543293206,0.3666721105222532,0.7396289905454844,0.19889433691838077,0.8576102259218927,0.15112097898301166,0.5258428133322943
10,4709.669765158742,-4494.036821191839,5384.589445919497,3085.6482904239983,733.468850007087,52,14,-12,-9,-504691,-67928,15750,7837,0.13943559946500234,0.14593357586323621,-0.7288128903741495,0.6669865002077345,0.430193555593115,0.9065441314854938,0.3320080563320435,0.9149180842297233,0.10604687791399865,0.5411113028363791
11,16306.458474791918,4656.572676898388,8748.979100159544,1638.3115207436185,1262.5951769903686,9,40,9,-9,-84162,-200161,-9795,7370,1.7436815376995771,0.9598824578600144,0.5202434262614299,0.7346924881233701,0.9587578661008048,0.9628634749914389,0.14550430694198657,0.836260146670401,0.11917593839533373,0.8836324056346718
