session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,VEV_5100_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,VEV_5100_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2
0,-388.4563026049873,-7659.604383154889,3913,2230.793316856776,1203.0089730775953,-92.93054965199826,17.276340267528212,-26,0,-18,4,-13,-12,261942,3913,23982,-1999,4491,2502,0.3937030486265805,0.557741525908304,-0.411332131752012,0.6585971523817171,0.3748539292796382,0.9114858874120569,0.32943910473951704,0.66859955672353,0.12250679760620405,0.9640853523692517,-0.023096389814417757,0.27390288626963494,0.0013317385676477498,0.004016884273155091
1,-307.1610230443812,-5216.394199356233,2405.5022055714217,1022.7694565072029,922.9454996749864,62.23487830256971,495.7811362556711,9,39,-2,15,-1,-6,-96635,-196203,3647,-8896,218,2008,0.15251007626162733,0.2929427773869519,-0.5058289945074308,0.9119956709385748,0.3568005449292421,0.8552301908436355,0.14017745176943436,0.8575708438283134,0.09083030387934628,0.8880162960188595,0.0041208336740897805,0.021672610892297304,0.06640993651694807,0.8277095164584726
2,6998.878521255034,-588.8044928453019,6679.960533892736,-703.6368286724792,1455.1051542884757,157.8315645634957,-1.5774099718928483,-12,77,-25,5,-12,15,121235,-395857,31956,-2268,2859,-3080,0.6491640934692612,0.7759517054387293,0.19329297100516932,0.24904425770381625,0.43117684193078276,0.9184201615588521,-0.17992002300548773,0.335714561814909,0.14344446708389205,0.9742746034327854,0.04209257987910555,0.5174020291279013,0.019077256575815715,0.07198747502141215
3,3129.336953734699,-1350.4088163680863,3496.021619490537,252.57549657999698,903.7606116000786,-507.61195756782763,335,-24,22,6,-2,-9,0,241133,-111857,-6768,2354,2246,335,0.3180700841244077,0.5086649986414953,-0.15291744337544508,0.2111407443751685,0.35693002047136196,0.8931703296911656,0.05275395173113174,0.5467074739283891,0.09602788061099639,0.9774022128670139,-0.06591161982903161,0.3173831529987963,0.031187294515394256,0.697752510101234
4,11117.674131734257,2912.130923568242,7202.992615210067,1415.1115079696938,-416.4474097408947,42.59140630390368,-38.70491157675451,-9,63,-21,-14,2,-18,91444,-322287,26243,12078,-354,2910,1.1336473178990982,0.9443289695023022,0.4325709772333101,0.822864281133871,0.4852708126975061,0.8685106852006037,0.24412532275558824,0.9249981128521655,0.002127194752273291,0.0016282125800290007,-0.012710227134280407,0.06638168537062368,-0.017736762405274727,0.10464939953280136
5,9715.580634923343,2824.0913939325255,3896.980891100189,913.0823422329049,1629.3815819868742,354.53436974842253,97.51005592242564,-17,-27,31,17,2,18,171156,148970,-34675,-12246,-153,-2339,0.8660261475122809,0.8699510065711982,0.19808062688311576,0.3948783171681886,0.34397414864949855,0.6883047568536367,0.1361557914701028,0.472100592347827,0.14863557940792466,0.5197528647946238,0.0392295467403611,0.9422454697284357,-0.00004954563872117514,0.0000004013865785367473
6,2821.656689274949,-4284.657719536815,2744.342294684575,1666.2107582459757,1265.1558203468085,509.6055355344056,921,6,-10,3,3,-5,0,-65014,56947,-1902,-1009,1845,921,0.23776728141062942,0.24132544254613889,-0.5153893231263755,0.7547525674541756,0.271662217597144,0.8309654958815866,0.18093269677104648,0.9766895399238891,0.11621702633743002,0.8027548085524777,0.0694913414256722,0.8977884151292814,0.11485332240571758,0.8824323530421126
7,3814.4657813697295,-5390.829579798534,6651.198872078297,3042.432771107655,170.3339991546145,233.83499226094273,-892.5052734332469,26,-17,-19,20,-6,12,-262048,96730,23951,-14272,2263,-2062,0.4628280346842323,0.7652757970147727,-0.5732486446440126,0.8934696431276767,0.7346326343287297,0.9851247318094662,0.3418701520286806,0.9528278959307562,0.01006343478309368,0.0036987509023974387,0.050187539702837396,0.4284411134931949,-0.10067708151507715,0.8396942675523787
8,8374.357135416758,1535.9086261819757,3352.24078927534,1580.572453481882,1170.4574546816839,311.82993005148137,423.3478817443961,-8,8,7,6,8,-7,79374,-40115,-7342,-3704,-2196,1310,0.7937045405942676,0.9136922498398659,0.24773462417149103,0.4280505309899997,0.24927664949466763,0.5903184911095757,0.1367474469078156,0.894842584509604,0.10064913074377044,0.9191816217808739,0.032840465604621734,0.2653216748851383,0.02645622367189436,0.4467190908921716
9,7134.229268922792,2053.7552105564682,2905.0503444947244,752.0402426368073,387.40399943811644,816.979471796675,219,-12,26,7,14,-8,0,120559,-133754,-7931,-10190,1735,219,0.6048656166035937,0.8937961460940812,0.18884141686963213,0.4515340793324374,0.17323809092351874,0.4522588738376246,0.09945867953643801,0.9095789700827137,-0.000885792794684528,0.00010947418650082404,0.10248260953151532,0.7773955974648651,0.041730612537178476,0.5470448985796939
10,7355.43193384533,3449.897361181793,3213.09174518886,1710.7252849293336,-156.9063722308838,15.66994418081822,-877.0460294045912,-18,-8,2,11,-8,8,176595,45106,-400,-8839,2217,-924,0.9086546605671134,0.8701534833739625,0.5184032147129284,0.8325171310985696,0.28089094316640195,0.8288783417192525,0.21079797832554406,0.9009443273804713,-0.05177137145015798,0.29533241171640645,0.0035690029481542356,0.08755661532677539,-0.05323510713577143,0.2866700394531315
11,2297.8113768189596,-5804.966728235304,6070.235892607685,1450.4717869971637,971.9973205502047,-588.6729447883827,198.74604968759286,11,27,4,-5,14,-6,-114361,-134944,-3631,4365,-3511,1116,0.6278727661553356,0.6582531823378218,-0.23356313696333367,0.2807537767498865,0.5831009092826169,0.9805811096491888,0.15321480054508907,0.9576664390611164,0.09315942430097651,0.9118698902465258,0.0025695653902972288,0.0005504980898167036,0.02939120359969098,0.4575294746749133
12,11795.24986013284,4920.352289860093,6729.59362745496,434.65449117956996,175.3453812823518,463.40461343477955,-928.1005430789137,-12,21,7,-8,-2,25,121471,-103921,-7759,6276,946,-5231,1.2702002333588351,0.8919382055108529,0.6575583779698232,0.8725426054947297,0.6505990572600007,0.853098796615533,0.012139071374057727,0.01910188155657553,-0.019660594946454855,0.06542788330568787,0.039164018620915904,0.8802476056732916,-0.06959969691950432,0.34305358781648526
13,-6249.186682671214,-8735.973254121258,589.2071284199337,1603.2179676140597,715.8423415772286,-134.02411081094715,-287.45675535023065,-28,9,-1,-20,6,-16,283204,-44639,3106,14749,-1369,3018,-0.7700542054523273,0.9387791785237695,-1.0947780642680816,0.9561012947755388,0.03602917149744664,0.20598922003609105,0.18836629751077824,0.7627289904281771,0.08642722521405893,0.377749973113368,-0.01121147516357278,0.08976964069785988,0.025112639757053305,0.5815607967502012
14,6045.942276386057,-257.1404150154267,2508.299235332077,1572.3582463003052,1626.162433107187,416.51083084294885,179.7519458189654,-16,6,1,-12,-6,7,159956,-28404,190,10260,1407,-1293,0.5175917705113938,0.7205138542781631,0.006783062154564809,0.0008210796834850317,0.19536413619657897,0.2869850834431399,0.14369107989667895,0.518238127232428,0.12240774824443763,0.840980564273219,0.011415711072447229,0.06570727619736956,0.037930032946684795,0.4497719073749649
15,1858.6630654849287,-1613.526232468168,4649.764738732571,-2070.733134588969,398.6716522371546,944.4940029868783,-450.00796141453793,-7,-10,-24,1,3,-16,68836,57666,33289,-328,226,2959,0.05595993734114677,0.011393664834396034,-0.18997895078957971,0.2460975589114638,0.5047429129339356,0.8910288358910702,-0.3317358191462993,0.6984653696633947,0.03994044623082267,0.8702451858084052,0.10772549893719205,0.8739524830910914,-0.07473415082493347,0.5869261908661138
16,6618.821840146259,800.974460098194,4933.788049311042,-507.0935955154855,1445.2827230224175,-84.87075853437631,30.7409617644671,-14,11,-28,8,-2,15,136450,-53823,35364,-5220,328,-1705,0.9069001567651378,0.8740520508285643,0.14214098363449246,0.42401301223098425,0.7064153592322099,0.8956559566825033,0.0077949452447036325,0.0073790918724469514,0.13472199503101862,0.9405381196200879,-0.022806996009670365,0.11323195985673401,-0.061366130367615145,0.29102282036775934
17,6071.403949143598,-1306.880701439397,4222.84524765829,744.2013124218756,1646.677141111335,136.13807289137304,628.4228765001214,19,5,-5,3,2,9,-191507,-21513,7705,-1434,-338,-359,0.5298198545516865,0.7887440068251379,-0.21204093575051594,0.5001654384800864,0.3832298502702406,0.7725728044218139,0.08538546719533953,0.5908542514200529,0.16505802163335168,0.9584693893664857,0.02129402672247189,0.8016586698292163,0.0868934244808071,0.8208377103614877
18,3459.583527524609,576.8485060325183,2510.297142335512,290.0904212201658,-355.4076287032167,441.6251712689045,-3.870084629275084,-10,-11,-11,-8,8,6,100974,60586,14755,7792,-2066,-602,0.4899446239801876,0.6643872232247485,0.171261974678026,0.3067680053378032,0.2640851749098755,0.870277374399495,0.09710689928054561,0.4064215788983435,-0.10705161484565058,0.7958607866996404,0.051501998932994265,0.7830257572074482,0.013040191024401038,0.08546801334255809
19,3023.4046083318685,-7003.96931534959,4183,2486.9573308166305,1100.153999739303,2127.7980874765763,129.46450564894894,15,0,3,1,-10,-5,-153926,4183,-1521,256,3939,945,0.7036244629286509,0.8348117460361869,-0.2947482613851069,0.4128319250716558,0.3997827247932772,0.9097154474938987,0.2973480439992016,0.9662942204262002,0.11509807959117642,0.9079139699830385,0.1538686945171654,0.5176558379804292,0.0322751814129328,0.3661268524236114
20,9994.177294208523,-1617.0186048000105,6996.742724153795,2585.570690204255,866.5130843991865,391.1412314257461,771.2281688255512,4,35,3,18,3,-13,-41032,-175118,-1425,-13137,-415,2964,1.03327263830884,0.9695296011106831,0.09944794993016667,0.09093933951689696,0.5594766671635449,0.8975029862023683,0.19233529695057092,0.8390670285149665,0.07347297921004532,0.49479603061242466,0.03153718181380349,0.768404907089463,0.07700256324070567,0.9118632044853769
21,7497.229215097985,861.9612470876891,3246.0723425416218,971.6012394568133,1463.5480889543542,418.2703685540855,535.7759285034208,-23,23,-11,10,-10,-14,226503,-121091,15222,-6418,3101,1990,1.1854353679045442,0.8087940055281837,0.4598539413227456,0.584751461678328,0.39422290888570216,0.7322702490406884,0.1011749447042699,0.8764254678498337,0.19486837812621927,0.7661260073036856,0.01436993397127208,0.1321087170772942,0.020945260894339984,0.287699716542887
22,6508.845893161931,-2806.037686326308,6082.7281181992585,2472.985597551451,1104.6027603772745,2140.809918945732,-2486.242815585477,-27,13,15,-12,2,21,273675,-61727,-17826,10142,1418,-871,0.6099274947635221,0.7839202238449577,-0.40996732689348153,0.8482419323249223,0.5617352867004899,0.9712074233217037,0.31694409620406383,0.9014199988933265,0.09030797196285914,0.9138413477524827,0.2776144549527415,0.9351217621485665,-0.2267069881631398,0.6399876345504648
23,-1264.0432048541356,-4737.256561526854,2387.276207985231,-864.956110811574,811.4981611797984,2072.9106305962705,-933.5155322770074,-6,-2,-20,-2,17,20,55592,13017,26656,2443,-5199,-3831,0.11582824234524215,0.10061746989816184,-0.418299269455959,0.7956639093362683,0.2506691064470977,0.8619173798015515,-0.002503241227383262,0.0003426491826675814,0.09146711674353503,0.8635086586458018,0.20807825294385734,0.8323934657679832,-0.013583723105904614,0.030093449437133876
24,862.4438188849481,-4982.701270949503,7805.003830659101,497.12170854560827,-1430.931012844745,375.50504444672265,-1401.5544809722362,-30,5,-11,-10,-7,11,297086,-18375,17032,8581,2203,-2490,0.2035182903854283,0.4259991723860974,-0.4041794225384005,0.7929066420761477,0.799176668017302,0.9487889462886733,0.03046776151951314,0.35096929763964957,-0.1568649790301368,0.7747119029838312,0.050807220255522,0.4526053685146687,-0.11588895783836352,0.6098659385043735
25,-2926.6106040381565,-9695.959173107345,1797.7213426886156,3326.922495499697,1222.1316264789457,226.52520464917734,196.0478997527539,-32,-17,-21,-10,5,-7,314657,92296,27956,8384,-1414,1591,-0.3950956819782758,0.725513718030143,-0.8268432381956644,0.7654060907577069,0.02578409966159107,0.017693475356383177,0.262178786874814,0.7442484477213055,0.11882991258825468,0.8037211642303989,0.011955450650601522,0.0703895610440902,0.012999306442132081,0.1083050438594422
26,3996.059156130619,-4464.932156850031,5788.813659005944,727.9339115731054,863.53875284491,628.6363800215986,452.06860953509175,23,25,-28,-17,-4,2,-240366,-126456,36489,13664,1350,45,-0.055182433505078496,0.007316213660964078,-0.7640255820255522,0.7627649883706767,0.5485940821898289,0.6891253360334286,0.01406365430810028,0.015604313851025625,0.08500756400423541,0.8011406411770238,0.020072598303107096,0.2906364612298797,0.04110524971519301,0.8728741417215672
27,2530.888667782825,-3793.8933627147926,4059.938342057794,1357.135754887233,898.120738565372,414.06118247536597,-404.4739874881477,-12,21,6,-1,-9,-4,114408,-103110,-6358,1490,2694,743,0.41278198190640275,0.27159667684659605,-0.2673511418337146,0.1789115126064097,0.400168685388419,0.9739338417278175,0.15991890758128297,0.8503837842190142,0.09252660459676028,0.9680964702455453,0.07430682470100286,0.6089873695839774,-0.04678789852733323,0.6468317612065204
28,12622.339521444857,6018.361041187163,3502.787124331662,3600.5022282284663,347,205.1560104430564,-1051.4668827454898,17,-23,15,0,7,-18,-160248,125574,-14803,347,-2272,3469,0.7909661771519649,0.889175274283043,0.19937382657899197,0.3590813088188413,0.2996037749007975,0.9170222096547656,0.3730873641901839,0.8824653790399126,0.022655029000023995,0.2798691994688168,-0.003603263878808142,0.00700676965192626,-0.10015055363918994,0.369589283265009
29,9430.98528181856,-829.1261281191546,6671.798743398031,2123.898826315046,1179.5930901173715,-41.839326870964214,326.6600769782326,-18,15,32,-11,-8,10,181108,-71042,-38531,9274,2488,-2141,0.9473648134385061,0.8979501628200791,-0.0870641029904027,0.09535963058732835,0.765459989466729,0.9792768893667315,0.12512410777664132,0.4791534870026425,0.0991065500547296,0.6660452037528921,0.019696093530855528,0.30415240474659844,0.025042175599955408,0.2198502410083395
30,4240.5506320253335,-5559.8485406797845,6566.554266175663,895.4307286596959,1485.405928387553,254.8348938900101,598.1733555921954,27,16,9,-8,5,-3,-270443,-77209,-10478,6557,-1092,1295,0.44064946810220595,0.8106972570752236,-0.5701625786903839,0.8918002617969787,0.6847495382051,0.9845059030418738,0.09799021560233266,0.7312046596638575,0.1635807029513588,0.9577450628229202,0.024494172790779586,0.7308505365328924,0.039997417243023935,0.510196395267206
31,-5919.605400669167,-5651.956227888062,423.03933424924617,923.0588370878254,517.4349710283568,45.60280846556998,-2176.785123612102,-22,37,2,-8,-21,24,213558,-188580,-1505,6066,5709,-2934,-0.8605727725210948,0.8427798567131738,-0.8135573878223071,0.9240739684084488,0.07672663299197813,0.29304293108502827,0.07613330393321165,0.9115687387223017,0.051687663872760116,0.7896085696428768,0.03493987194063229,0.16061276506927538,-0.28650285743738135,0.7765472244276123
32,8568.396364513723,2939.659779682377,1025.2866480792727,2063.400027047508,1033,1288.232253793754,218.81765591080966,-19,8,1,0,-1,-14,190346,-40632,696,1033,1654,2728,1.078670158006626,0.7636274060628221,0.5889562105605405,0.7107447381245071,0.00628650801135008,0.0004828565418094778,0.22596302519487363,0.972360751911559,0.10055585514385683,0.9282368864416025,0.1666703393933691,0.8757103139106793,-0.009761780297361812,0.03535984810397005
33,4147.832710589912,-554.3927826645377,2400.3365371571126,1889.477478828514,-165.96622721881067,175.65618846410553,402.72151602352733,-14,-5,8,-25,-3,7,135747,28986,-8615,19589,643,-1265,0.5291140990365305,0.7727239175799574,-0.01591568389647759,0.008713014523881669,0.266304995296979,0.6518855456273956,0.19175869499600828,0.7815667442804998,0.08149431507800466,0.2988950804758191,0.016798630500868182,0.6113071068020277,-0.011326852938842254,0.04030348686581456
34,7915.220758357009,442.5502233361858,3035.0653988849226,1349.6461251343026,3031.140459423963,539.1606286763622,-482.34207709872703,1,-19,5,-17,-4,-8,-9640,104950,-5292,14091,1507,1403,0.6621453712325074,0.8093437770598473,-0.0667867248541304,0.12310936299779739,0.2645644123874826,0.7589313043382588,0.15081686632469943,0.9105048559456329,0.33892042280551954,0.8858172414468953,0.044896691659761866,0.7996330970283798,-0.07026629709083457,0.6371355959616465
35,8835.267694927696,-1290.8076422275626,4833.9253217600635,4191.482370551254,1031.7453318151038,-12.4778768985704,81.4001899274075,-17,-14,46,11,2,5,162679,77923,-61575,-7622,-389,-638,0.9683561810605406,0.8795573388456289,-0.14073149168676075,0.4462476363718066,0.5256857737531889,0.9603497039498927,0.614908825788818,0.9106651762763422,-0.03978376046169238,0.09545086708402466,0.003681445267074262,0.03108598975566362,0.004595388399914417,0.05105602696961515
36,4907.909524923819,-274.66598791765864,4787.536488638638,498.9844200756197,1167.0281013483618,-887.71547129188,-383.2580259292615,11,50,-18,-11,5,-5,-107768,-256897,22324,9379,-1756,801,0.4707604001691679,0.5725082030862833,0.06782723306689672,0.0969695090083787,0.35615298809661156,0.8688528247602084,0.08800799157013461,0.7706554878947871,0.10895883927392304,0.8980155028896943,-0.09476630595446321,0.9475539438689079,-0.05542034588395361,0.31382183190307034
37,1199.090622261022,-2467.904703154636,434.0983964478146,2818.4948329602557,506.3320247921729,216,-307.9299287845852,-28,9,9,8,0,-15,277163,-43877,-10352,-6487,216,3184,-0.05511356815669743,0.017662978528572088,-0.14587199960027775,0.37807201419674846,-0.17947710983238746,0.29625356299634814,0.28849678488137986,0.9029839643061215,0.020119472854838727,0.19751315822304355,0.007635482010864733,0.038040908818100516,-0.04601619847111463,0.5191340963043503
38,-9.266696710716133,-6590.224107995673,3618.959826283288,1543.7348321951704,1147.3314730032616,66.64152725198255,204.28975255125442,-8,-11,6,-7,7,-9,75291,61579,-6369,6851,-1930,1571,0.01224398337262752,0.0012244720478954468,-0.6372772675578176,0.8905416130646959,0.30630452164597866,0.8506262297411668,0.21274283593918789,0.6964340165620176,0.10288210660162138,0.8908280213759648,0.0030511903719937015,0.03090589216414266,0.024540596371656582,0.5958418635389252
39,4304.977480928967,-2090.323065953591,3804.8448034864396,1609.6876874914742,824.8465437233608,-670.5965177713575,826.5180299526414,-16,-3,-19,6,-4,9,157952,19477,25291,-3701,-787,-747,0.25500203324950893,0.43108078048729304,-0.40134989106897845,0.8288644843110478,0.43337429568862446,0.8183103913403089,0.11180409155305539,0.7168538068800046,0.11516744780275996,0.868685944698195,-0.0805805503758616,0.8315544928232453,0.0765866396499114,0.8300859727071863
40,11638.37194999748,22.02857526851585,8284.266247599764,2669.2468981024904,262.9334355107276,155,244.89679351598215,-27,-45,14,-7,0,-9,264236,244102,-16831,5396,155,1717,0.8066168019423137,0.8706617713193325,-0.2014612785234492,0.36356680369614736,0.6835550314868963,0.9783397141816854,0.23995295613390266,0.9155285227753048,0.018991426040973827,0.11847857888575682,0.028837943915234105,0.3472474019477273,0.03674072288874856,0.5129572380476056
41,3278.8156209020844,-5475.412712297431,3066.7576032439683,2282.043319343982,1945.4818957936222,638.0679640414305,821.8775507765122,-23,25,35,9,5,12,229451,-123746,-44944,-5579,-1483,-1044,0.29075112230562106,0.32383863662906326,-0.45541138795455166,0.6758675128255898,0.24709537390688158,0.7857069900072993,0.19675204788888345,0.8513554365253476,0.230072487478839,0.8061567318694425,0.045461105668968674,0.852345777031547,0.026781495316593244,0.03206853072437067
42,5549.1112907119405,-469.93732513037685,3887.3569202311046,825.0874601370451,-50.42482291390934,282,1075.029058388077,-9,32,24,10,0,-32,90592,-164658,-31414,-7743,282,4565,0.5519252133130276,0.819011381196298,-0.029162210672939046,0.017239822533167602,0.3221007617204208,0.8578572026672994,0.15541749583936612,0.7312212923072439,-0.006159185630861911,0.012375367756505329,0.023952911401180353,0.4296774931402884,0.08577544065586544,0.6461836279624502
43,6070.1066125345305,-1796.1423914408078,5047.739672399155,882.9679384416522,1057.189842846673,112.23362669526159,766.1179235925969,-17,29,-6,6,15,-5,164355,-146205,9149,-3728,-2655,1299,0.5895500537704572,0.7415341361990403,-0.1696426477150557,0.4197270576973669,0.49672576441679595,0.943620226022935,0.08265129119928023,0.733203029761072,0.11013827004060793,0.9033336774739407,-0.016433833986254802,0.1118130291422532,0.08611120981508577,0.6424489815471217
44,5046.867649656375,-3685.2481255496677,4374,1520.4239723370029,1219.662893440288,200.47703547653828,1417.551873952214,-24,0,6,-4,-10,31,236932,4374,-6307,4442,4225,-6152,0.41180517708515535,0.674641210909274,-0.4159304602661531,0.7727063672441153,0.42147847760512624,0.921353171308152,0.15479860730336356,0.9697734781162856,0.1526040681252649,0.8431026356551112,0.015349684828664003,0.21079597776012174,0.08350479948889217,0.44816967311355166
45,4575.977634874985,-7799.230752532836,5862.776980876748,3562.094998428227,1675,735.3823353830539,539.9540727197918,-20,-25,25,0,12,8,198157,139996,-29448,1675,-3436,-447,0.3333055950714102,0.4374539871092863,-0.9865115248765685,0.9538147449802016,0.6114811093299569,0.9540890490486038,0.41466234667840823,0.8784601878746641,0.18014307079874048,0.9874904287916255,0.06498334330024712,0.6255236771111713,0.04854724984061313,0.8946399229399415
46,7707.588855401742,-4003.7695186202473,5294.003991742458,5165.988327253275,761.6507103355912,-782,1271.7153446906652,-16,-7,32,-6,0,6,154417,42917,-38948,4659,-782,-473,0.6568922566730155,0.8563154775886478,-0.43786857994793216,0.737459144111579,0.5991553757656122,0.9645885475912442,0.380211502976815,0.8156492855541022,0.08009804288017149,0.8281042290118997,-0.1017848833572997,0.866447634436785,0.13708079835563497,0.8349658629650271
47,10799.28013547877,1029.8016184543085,4937.6171341881345,2823.7739823196644,997.1202238752685,80.29551902111302,930.6716576202816,-21,11,-4,7,5,14,207335,-52136,7767,-4622,-1107,-1154,1.257234079737058,0.8648166332421433,0.19384675054098033,0.2152663690465209,0.5292190646123971,0.9082071790543701,0.36461762801686065,0.9141059292637816,0.07403421190742118,0.11353000758059388,-0.002393928820268485,0.0074927796469716245,0.0979103534796816,0.28728034011415915
