number,value,params_MAF_BID,params_V45_OBI_SIZE_MAX,params_V4K_OBI_SIZE_K_CONF,params_V4K_OBI_SIZE_MAX,params_V4K_OBI_THRESH,params_VEL_MM_BASE_SIZE,params_VEL_OBI_SIZE_K_CONF,params_VEL_OBI_SIZE_MAX,params_VEL_OBI_SKEW_TICKS,params_VEL_OBI_THRESH,user_attrs_params_hash,user_attrs_train/metric/cvar_5,user_attrs_train/metric/mean_pnl,user_attrs_train/metric/mean_pnl[VELVETFRUIT_EXTRACT],user_attrs_train/metric/mean_pnl[VEV_4000],user_attrs_train/metric/mean_pnl[VEV_4500],user_attrs_train/metric/median_pnl,user_attrs_train/metric/p05_pnl,user_attrs_train/metric/sharpe,user_attrs_train/metric/std_pnl,user_attrs_train/n_sessions,user_attrs_train/pnl_mean,user_attrs_train/pnl_std,user_attrs_train/symbol/HYDROGEL_PACK/mean,user_attrs_train/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_train/symbol/VEV_4000/mean,user_attrs_train/symbol/VEV_4500/mean,user_attrs_train/symbol/VEV_5000/mean,user_attrs_train/symbol/VEV_5100/mean,user_attrs_train_val_delta,user_attrs_val/metric/cvar_5,user_attrs_val/metric/mean_pnl,user_attrs_val/metric/mean_pnl[VELVETFRUIT_EXTRACT],user_attrs_val/metric/mean_pnl[VEV_4000],user_attrs_val/metric/mean_pnl[VEV_4500],user_attrs_val/metric/median_pnl,user_attrs_val/metric/p05_pnl,user_attrs_val/metric/sharpe,user_attrs_val/metric/std_pnl,user_attrs_val/n_sessions,user_attrs_val/pnl_mean,user_attrs_val/pnl_std,user_attrs_val/symbol/HYDROGEL_PACK/mean,user_attrs_val/symbol/VELVETFRUIT_EXTRACT/mean,user_attrs_val/symbol/VEV_4000/mean,user_attrs_val/symbol/VEV_4500/mean,user_attrs_val/symbol/VEV_5000/mean,user_attrs_val/symbol/VEV_5100/mean,user_attrs_val_score,state,test_score,test_pnl_mean,test_pnl_std
217,-4.642553165173721,989,144,0.8438144105859968,168,0.2716322281788773,8,1.4366193458926322,89,2,0.3967462364453468,947dc24fe175,-27156.665844303163,5085.504844170762,4320.989871147105,1307.7849734409542,854.8202598319003,5100.928611362586,-17126.782028205194,0.34155983003856183,14889.060120438087,80,5085.504844170762,14889.060120438087,-1839.2899487840145,4320.989871147105,1307.7849734409542,854.8202598319003,294.2778695180478,146.92181901676935,1.3858945045339484,-26576.830170852754,4494.63696887166,5019.744972797599,1571.1633288835028,828.2350024980918,3602.300874555651,-24096.992592026258,0.2572558384777722,17471.467296786006,20,4494.63696887166,17471.467296786006,-3145.3872919804244,5019.744972797599,1571.1633288835028,828.2350024980918,109.11019105645809,111.77076561643389,-6.02844766970767,COMPLETE,-4.4328175507826755,7124.484047822667,13912.591846284677
206,-4.626235909620936,561,116,0.3824272235829843,155,0.28113570848373354,8,1.2736665545542156,89,2,0.39558079673396634,2a74c9524cc9,-27151.345775628633,5094.988314055765,4320.236768596146,1312.1512974391917,860.6905082696248,4873.428611362587,-17062.359523689694,0.34256388384379427,14873.104125533062,80,5094.988314055765,14873.104125533062,-1839.2899487840145,4320.236768596146,1312.1512974391917,860.6905082696248,294.2778695180478,146.92181901676935,1.3902928566018398,-26576.83017085275,4536.142645561929,5047.921329952935,1582.2565635542576,830.4710873622689,3894.363579701432,-24092.242592026254,0.25992360662461145,17451.830191449855,20,4536.142645561929,17451.830191449855,-3145.3872919804244,5047.921329952935,1582.2565635542576,830.4710873622689,109.11019105645809,111.77076561643389,-6.016528766222776,COMPLETE,-4.438557550046951,7116.111817470141,13910.570950330071
244,-4.677696722895467,1469,67,0.40037476240116343,199,0.3975283161895753,11,1.462849664929599,86,1,0.3885163774052823,b4bff2bd9305,-27409.660517186443,4919.409372273668,4117.489430060132,1314.158299252061,885.8519032106726,5387.2041267340755,-16948.379011007597,0.3292542305450428,14941.066555561478,80,4919.409372273668,14941.066555561478,-1839.2899487840145,4117.489430060132,1314.158299252061,885.8519032106726,294.2778695180478,146.92181901676935,1.172554391275522,-26753.41443663776,4485.629724551027,4963.206172042466,1582.2565635542576,864.673324261835,3594.3084698207713,-23127.94817044719,0.2611033851412668,17179.51577733905,20,4485.629724551027,17179.51577733905,-3145.3872919804244,4963.206172042466,1582.2565635542576,864.673324261835,109.11019105645809,111.77076561643389,-5.850251114170989,COMPLETE,-4.53226152133691,7182.701639152441,13987.720813361064
347,-4.693935680734464,1262,52,1.1742263464581708,170,0.3307437229081996,9,1.207156521203691,40,2,0.3888076866787304,5c97ce781f56,-27311.996001157666,4941.533610941884,4145.606513820215,1314.4841855244372,879.5331718464302,5083.037032426986,-17111.542077040252,0.331456586576057,14908.539492269181,80,4941.533610941884,14908.539492269181,-1839.2899487840145,4145.606513820215,1314.4841855244372,879.5331718464302,294.2778695180478,146.92181901676935,1.2201336841685908,-26534.25800131911,4435.822755565575,4950.969424932379,1582.2565635542576,827.10310238647,3812.2975735772043,-23486.563409802246,0.257053932545437,17256.38939517681,20,4435.822755565575,17256.38939517681,-3145.3872919804244,4950.969424932379,1582.2565635542576,827.10310238647,109.11019105645809,111.77076561643389,-5.914069364903055,COMPLETE,-4.533213005139074,7151.904103790569,13957.08730425066
90,-4.692353689818585,1447,145,1.0020076736531782,151,0.3343065076534491,9,0.39703181170005664,61,2,0.38830241615966066,a6579f5c1d0f,-27327.910471887957,4941.637174445558,4145.606513820215,1314.158299252061,879.9626216224802,5132.2868592735485,-17095.569572524753,0.3314148109611296,14910.731237733198,80,4941.637174445558,14910.731237733198,-1839.2899487840145,4145.606513820215,1314.158299252061,879.9626216224802,294.2778695180478,146.92181901676935,1.2099777516538532,-26488.201818088466,4459.485800091289,4950.969424932379,1582.2565635542576,850.7661469121838,3806.515569825264,-23482.360600640717,0.2586130669155415,17243.85334924967,20,4459.485800091289,17243.85334924967,-3145.3872919804244,4950.969424932379,1582.2565635542576,850.7661469121838,109.11019105645809,111.77076561643389,-5.902331441472438,COMPLETE,-4.533475725475421,7151.502775845704,13959.885593976613
270,-4.668728493059071,1454,92,0.6245457920654925,137,0.38881262708461467,10,1.376369603835099,77,1,0.38774499596599993,c7e45ee8e1cf,-27682.929380150836,4939.940560785226,4136.962418991357,1314.158299252061,886.9101027910056,5309.713131660559,-16794.455547020232,0.3306584161780934,14939.709135135283,80,4939.940560785226,14939.709135135283,-1839.2899487840145,4136.962418991357,1314.158299252061,886.9101027910056,294.2778695180478,146.92181901676935,1.249556195659264,-26619.343563787977,4451.626215157253,4931.676618126677,1582.2565635542576,862.1993687838509,3658.2280210105273,-23486.393479310045,0.25815248696026916,17244.17326974029,20,4451.626215157253,17244.17326974029,-3145.3872919804244,4931.676618126677,1582.2565635542576,862.1993687838509,109.11019105645809,111.77076561643389,-5.918284688718335,COMPLETE,-4.539590974109204,7178.744127673449,13978.201136351468
246,-4.687313115014206,1339,110,0.7934581369526574,133,0.30317142423799337,10,0.7492692219516741,103,2,0.39016212256132315,bc1cc0dd34cc,-27443.45705557551,4922.390876011912,4138.065910089503,1312.1512974391917,870.2639287324153,4957.773871344136,-16986.878580046618,0.33012110532536665,14910.863912079823,80,4922.390876011912,14910.863912079823,-1839.2899487840145,4138.065910089503,1312.1512974391917,870.2639287324153,294.2778695180478,146.92181901676935,1.3532736448535267,-26998.240718332207,4403.246842150164,4918.0103099842545,1582.2565635542576,827.4863039191841,3633.354508109173,-23839.965414389477,0.25413039288259676,17326.72268044845,20,4403.246842150164,17326.72268044845,-3145.3872919804244,4918.0103099842545,1582.2565635542576,827.4863039191841,109.11019105645809,111.77076561643389,-6.0405867598677325,COMPLETE,-4.547362609064962,7177.513881366491,13982.183608277133
342,-4.694274898265785,1312,105,0.44418739729045215,132,0.2921734513650686,10,0.7249406287973587,97,2,0.38723808286445693,187b7017a554,-27604.56545134154,4914.126556820416,4133.012059215282,1312.1512974391917,867.0534604151402,5177.968326737551,-16926.85346282905,0.3289180020451762,14940.278507910527,80,4914.126556820416,14940.278507910527,-1839.2899487840145,4133.012059215282,1312.1512974391917,867.0534604151402,294.2778695180478,146.92181901676935,1.245513807459587,-26708.399747018622,4396.110581007508,4907.249562701143,1582.2565635542576,831.1107900596398,3700.6700493313365,-23475.572792076473,0.25449307765952994,17273.98883080342,20,4396.110581007508,17273.98883080342,-3145.3872919804244,4907.249562701143,1582.2565635542576,831.1107900596398,109.11019105645809,111.77076561643389,-5.939788705725372,COMPLETE,-4.548270887700633,7169.1963688851065,13976.887670129478
149,-4.6876417123804,1310,126,0.7145124639164044,132,0.2510053163486935,8,1.4404660224163917,80,2,0.3851700998196493,0a415d956f23,-27824.747698931867,4901.245050500604,4139.47059009675,1307.7849734409542,852.0797472120985,4959.079532796213,-16769.05143823915,0.3285853090355769,14916.202629040641,80,4901.245050500604,14916.202629040641,-1839.2899487840145,4139.47059009675,1307.7849734409542,852.0797472120985,294.2778695180478,146.92181901676935,1.277831594545658,-26391.101566000463,4264.807805036583,4795.3299250590935,1571.1633288835028,822.8208864015189,3968.112452722541,-23592.455588036315,0.24671577274318154,17286.320033847325,20,4264.807805036583,17286.320033847325,-3145.3872919804244,4795.3299250590935,1571.1633288835028,822.8208864015189,109.11019105645809,111.77076561643389,-5.965473306926058,COMPLETE,-4.557715896734981,7133.190594227901,13958.367304487627
136,-4.692039352425114,840,143,1.2472952570456735,178,0.2993687912376549,8,0.47443496158577275,76,1,0.38584686064114415,342eb498262c,-27945.42287066549,4924.9987687281955,4143.159420439988,1312.1512974391917,867.7783110982139,4998.468326737551,-16761.559347121347,0.33000602429514625,14923.966249547744,80,4924.9987687281955,14923.966249547744,-1839.2899487840145,4143.159420439988,1312.1512974391917,867.7783110982139,294.2778695180478,146.92181901676935,1.252181293432276,-26330.04538276982,4315.948939530535,4823.460234157115,1582.2565635542576,834.7384771266958,3983.192465006974,-23584.65277887478,0.25007402675768764,17258.68534005144,20,4315.948939530535,17258.68534005144,-3145.3872919804244,4823.460234157115,1582.2565635542576,834.7384771266958,109.11019105645809,111.77076561643389,-5.94422064585739,COMPLETE,-4.560836639417452,7142.794245195398,13952.950459858897
294,-4.637228292276373,1330,74,0.7268400374973158,181,0.36043008565173174,8,1.4553412984195484,79,2,0.3791249928936207,206fdf311d43,-27535.880636358856,4992.019919584482,4195.933717810272,1314.158299252061,880.0181627713467,5221.7041267340755,-16785.419240130283,0.33523060944375244,14891.301029663524,80,4992.019919584482,14891.301029663524,-1839.2899487840145,4195.933717810272,1314.158299252061,880.0181627713467,294.2778695180478,146.92181901676935,1.3022650175881143,-26242.133538606446,4264.34382490026,4757.351024883001,1582.2565635542576,849.242571770533,4383.821345709341,-23533.707186666616,0.2461420828186764,17324.724712115327,20,4264.34382490026,17324.724712115327,-3145.3872919804244,4757.351024883001,1582.2565635542576,849.242571770533,109.11019105645809,111.77076561643389,-5.9394933098644875,COMPLETE,-4.5776602169056915,7065.268109620462,13953.646173080426
302,-4.615503696787543,1198,69,0.8792473773210026,187,0.35500017336208295,8,1.2905448567463145,60,2,0.38702363416629326,df890fc60777,-27505.8227734632,4973.687178241482,4180.33952268563,1314.158299252061,877.2796165529878,5246.032356810307,-16671.057551892318,0.3347436292640241,14858.198165493866,80,4973.687178241482,14858.198165493866,-1839.2899487840145,4180.33952268563,1314.158299252061,877.2796165529878,294.2778695180478,146.92181901676935,1.3482183598592101,-26252.989199539166,4334.164215045883,4821.931311450799,1582.2565635542576,854.4826753483587,3933.4524281536724,-23740.700543460578,0.2504334954593505,17306.647447842653,20,4334.164215045883,17306.647447842653,-3145.3872919804244,4821.931311450799,1582.2565635542576,854.4826753483587,109.11019105645809,111.77076561643389,-5.963722056646753,COMPLETE,-4.5811715030426985,7136.615233566142,13974.705140168164
316,-4.668174806384724,1224,69,0.9257535214757198,190,0.3424979366405012,8,1.3631665445346612,59,2,0.38599594590069775,551b6077ab42,-27816.265211889568,4935.501250722093,4139.47059009675,1314.158299252061,879.9626216224802,5145.954299887512,-16721.728933723647,0.33088822537962426,14915.916832820658,80,4935.501250722093,14915.916832820658,-1839.2899487840145,4139.47059009675,1314.158299252061,879.9626216224802,294.2778695180478,146.92181901676935,1.2611740460122478,-26252.989199539166,4303.846300218003,4795.3299250590935,1582.2565635542576,850.7661469121838,3933.452428153673,-23534.24996971325,0.2495801679252429,17244.344115944103,20,4303.846300218003,17244.344115944103,-3145.3872919804244,4795.3299250590935,1582.2565635542576,850.7661469121838,109.11019105645809,111.77076561643389,-5.929348852396972,COMPLETE,-4.594200166238121,7129.724889496856,13966.72764082149
