trial,VEV_BASE_SIZE,MR_MM_LEVEL_SIZE,HY_MM_BASE_SIZE,BASE_MM_SIZE,MR_K,MR_MAX_FRAC,VEV_SOFT_POS_FRAC,HY_SOFT_POS_FRAC,VEV_SIZES_MILD_BIG,VEV_SIZES_MILD_SMALL,VEV_SIZES_STRONG_BIG,VEV_SIZES_STRONG_SMALL,VEV_SIZES_EXTREME_BIG,VEV_SIZES_EXTREME_SMALL,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,3,13,54,37,0.04481152690538941,0.4925933073268412,0.6,0.43174743324315,22,8,30,2,40,3,14675,2946,12312,17621,12312,29934,33.04,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,15,37,87,80,0.0884,0.376,0.7618,0.4665,31,8,24,8,44,3,8930,3525,8029,12455,8029,20484,27.43,1,4077,-778,183,1406,-679,-808,2916,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
2,3,10,106,65,0.0972,0.5616,0.677,0.3551,12,5,21,1,37,4,14710,2742,12715,17452,12715,30168,22.45,1,9326,-1299,904,1520,-941,3179,3334,2437,2578,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
3,20,9,89,56,0.0552,0.637,0.6336,0.5241,27,3,23,8,66,5,8174,3536,11120,11710,11120,22830,26.61,1,3492,-744,-453,1460,-702,2919,2690,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
4,14,13,120,47,0.0452,0.3919,0.5301,0.3246,36,6,43,2,43,7,8896,3507,11394,12403,11394,23798,22.48,1,3918,-773,11,1532,-702,2759,2916,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
5,3,9,117,15,0.0371,0.6708,0.4235,0.4314,34,15,44,2,61,4,14588,2984,12112,17572,12112,29684,22.7,1,9279,-1322,904,1532,-676,2584,3246,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
6,9,29,41,54,0.0466,0.6856,0.7411,0.3413,19,6,18,1,54,8,9482,3472,7597,12954,7597,20552,22.74,1,4468,-735,-227,1406,-774,-808,3078,2437,2578,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
7,6,20,87,80,0.0353,0.5928,0.4589,0.5253,15,15,44,4,25,5,9936,3259,7777,13195,7777,20972,37.18,1,4642,-761,50,1430,-962,-897,3334,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
8,19,27,32,41,0.035,0.6983,0.6709,0.5019,13,7,31,8,41,1,8259,3480,9506,11739,9506,21246,36.58,1,3545,-727,1660,1406,-774,-808,2778,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
9,20,29,67,64,0.0259,0.336,0.6622,0.3851,31,14,41,10,54,3,8167,3514,7448,11681,7448,19130,22.89,1,3540,-693,-383,1406,-774,-808,2690,2437,2579,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
10,19,38,103,32,0.0893,0.3731,0.4694,0.6179,38,10,30,3,72,9,8240,3610,7987,11850,7987,19836,22.3,1,3532,-693,141,1406,-679,-808,2771,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
