trial,VEV_BASE_SIZE,MR_MM_LEVEL_SIZE,HY_MM_BASE_SIZE,BASE_MM_SIZE,MR_K,MR_MAX_FRAC,VEV_SOFT_POS_FRAC,HY_SOFT_POS_FRAC,VEV_SIZES_MILD_BIG,VEV_SIZES_MILD_SMALL,VEV_SIZES_STRONG_BIG,VEV_SIZES_STRONG_SMALL,VEV_SIZES_EXTREME_BIG,VEV_SIZES_EXTREME_SMALL,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,3,13,54,37,0.04481152690538941,0.4925933073268412,0.6,0.43174743324315,22,8,30,2,40,3,14675,2946,12312,17621,12312,29934,24.97,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,17,34,68,61,0.0432,0.6064,0.7169,0.5315,15,3,33,7,72,7,8500,3464,9404,11964,9404,21368,51.77,1,3735,-744,1558,1406,-774,-808,2829,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
2,9,40,70,66,0.031,0.5205,0.4629,0.5771,18,7,52,9,68,4,9178,3478,7727,12656,7727,20382,30.09,1,4371,-730,-227,1324,-774,-658,2952,2437,2564,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
3,11,15,111,23,0.0447,0.3327,0.8229,0.4659,31,7,44,9,46,1,9358,3303,7572,12661,7572,20233,24.52,1,4293,-730,-227,1506,-949,-825,3028,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
4,14,31,103,21,0.0918,0.5956,0.4226,0.467,30,3,43,4,32,9,8958,3378,7757,12336,7757,20093,24.82,1,4105,-829,-59,1406,-774,-808,2916,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
5,7,23,97,61,0.0246,0.3257,0.524,0.5616,38,7,34,5,47,6,9804,3380,7764,13184,7764,20948,24.72,1,4642,-738,50,1467,-864,-940,3165,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
6,6,29,42,49,0.0468,0.3203,0.8457,0.3067,35,11,48,1,71,4,9777,3456,7854,13233,7854,21088,24.48,1,4594,-751,50,1406,-774,-808,3246,2437,2558,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
7,10,24,39,77,0.0217,0.5257,0.7087,0.4411,35,15,29,4,41,3,9143,3454,7727,12597,7727,20324,24.37,1,4081,-753,-119,1504,-774,-808,3028,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
8,4,21,36,54,0.0844,0.6681,0.7649,0.3173,25,5,37,5,67,7,16386,3132,9054,19518,9054,28571,23.63,1,11105,-954,1340,1504,-896,-940,3246,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
9,16,12,99,25,0.0634,0.6917,0.5012,0.6353,30,8,36,1,71,8,8536,3490,11860,12026,11860,23886,24.12,1,3656,-768,183,1520,-724,3045,2829,2437,2578,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
10,19,33,92,43,0.0643,0.5063,0.6003,0.6386,36,9,32,8,45,4,8259,3514,7987,11773,7987,19760,24.08,1,3545,-693,141,1406,-774,-808,2778,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
11,12,9,103,69,0.0243,0.6329,0.834,0.3592,29,10,38,6,36,4,9142,6618,7749,15760,7749,23510,24.05,1,4081,-753,-119,1532,2390,-786,2998,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
12,10,35,75,72,0.0673,0.5075,0.6355,0.3672,30,8,46,8,53,9,9315,3478,7589,12793,7589,20382,46.96,1,4363,-730,-227,1406,-774,-808,3016,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
13,5,38,87,16,0.0435,0.3736,0.4037,0.6155,22,13,31,1,42,2,,,,,,,240.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,8,33,29,0.0577,0.6624,0.6755,0.6476,15,3,47,9,73,4,8479,3536,13087,12015,13087,25102,132.6,1,3659,-744,1558,1460,-702,2905,2829,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
15,1,33,45,69,0.0965,0.5953,0.4269,0.641,20,11,40,6,59,10,6560,3114,8324,9674,8324,17998,25.11,1,2959,362,1652,1406,-774,-808,1664,982,1420,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
16,14,33,30,58,0.0265,0.5998,0.7573,0.5193,39,12,38,6,32,6,8994,3430,7714,12424,7714,20137,74.44,1,4141,-778,-132,1406,-774,-808,2916,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
17,5,23,93,51,0.0554,0.402,0.4332,0.4472,33,9,48,6,33,4,9976,2733,7660,12709,7660,20368,23.59,1,4608,-1376,-24,1504,-873,-940,3334,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
18,17,17,67,25,0.0549,0.5112,0.5748,0.4832,36,7,53,3,35,10,8515,3186,7766,11701,7766,19467,24.4,1,3618,-778,-31,1508,-1018,-815,2858,2437,2564,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
19,18,28,93,51,0.0965,0.4629,0.6775,0.359,34,7,33,7,60,6,8349,3514,7815,11863,7815,19678,44.06,1,3627,-693,-31,1406,-774,-808,2786,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
20,18,36,94,31,0.0431,0.397,0.5128,0.3669,12,6,39,8,29,7,8265,3480,10955,11745,10955,22700,26.88,1,3551,-727,3109,1406,-774,-808,2778,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
21,3,40,78,46,0.0336,0.6723,0.4328,0.4189,36,17,38,3,34,5,14420,2886,8900,17306,8900,26206,55.51,1,9232,-1322,904,1324,-774,-658,3334,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
22,10,32,71,80,0.0706,0.4745,0.827,0.5642,32,11,33,4,38,9,9046,3454,7727,12500,7727,20227,79.67,1,4081,-753,-119,1406,-774,-808,3028,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
23,12,35,78,49,0.0956,0.4231,0.8371,0.5263,40,13,18,1,61,10,8854,3411,7705,12265,7705,19970,41.81,1,3976,-743,-119,1406,-828,-808,2941,2437,2578,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
24,2,30,116,77,0.0523,0.544,0.7102,0.4573,36,8,44,4,37,4,11038,2606,8088,13644,8088,21732,31.95,1,6363,-1016,720,1406,-774,-808,2738,1851,2116,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
25,12,20,59,63,0.0257,0.5636,0.5598,0.4752,16,18,46,2,33,4,8898,3272,7608,12170,7608,19778,47.57,1,3939,-748,-119,1430,-962,-897,2998,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
