trial,OPTIMP_THR,OPTIMP_TAKE_SIZE,OPTIMP_COOLDOWN,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
0,3.0,15,100,13890,9376,11384,23266,11384,34650,24.92,1,9279,-1322,904,746,5716,1831,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
1,3.9145,14,232,15835,2800,10192,18635,10192,28827,24.25,1,9279,-1322,904,2692,-860,639,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
2,6.8584,9,450,13392,2878,12682,16270,12682,28953,23.96,1,9279,-1322,904,250,-782,3129,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
3,5.8229,28,328,13424,2924,13462,16348,13462,29810,24.21,1,9279,-1322,904,282,-736,3909,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
4,1.522,37,139,14054,5766,10241,19820,10241,30060,10.22,1,9279,-1322,904,911,2106,688,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
5,1.3375,32,244,13172,5148,10163,18320,10163,28482,10.29,1,9279,-1322,904,29,1488,610,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
6,1.6287,10,312,14336,8772,9336,23108,9336,32443,10.69,1,9279,-1322,904,1192,5112,-217,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
7,4.8207,41,93,12031,2960,16412,14991,16412,31403,10.88,1,9279,-1322,904,-1112,-700,6859,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
8,9.527,45,351,12051,2180,12487,14231,12487,26718,11.32,1,9279,-1322,904,-1092,-1480,2934,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
9,6.247,8,325,13342,2958,12763,16300,12763,29064,11.29,1,9279,-1322,904,200,-702,3210,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
10,6.2699,8,143,13130,2864,12986,15994,12986,28980,11.35,1,9279,-1322,904,-13,-796,3433,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
11,1.4192,13,178,13397,5498,10151,18895,10151,29046,11.58,1,9279,-1322,904,254,1838,598,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
12,4.7723,39,90,12880,2984,12548,15864,12548,28412,11.24,1,9279,-1322,904,-264,-676,2995,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
13,6.1382,40,447,12054,2898,12422,14952,12422,27374,10.98,1,9279,-1322,904,-1088,-762,2869,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
14,7.138,11,327,13348,2924,12887,16272,12887,29159,11.07,1,9279,-1322,904,204,-736,3334,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
15,6.1408,17,220,12908,2780,13311,15688,13311,28999,11.06,1,9279,-1322,904,-236,-880,3758,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
16,1.8769,50,62,13619,5488,9245,19107,9245,28352,11.23,1,9279,-1322,904,476,1828,-308,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
17,6.0793,44,135,12074,2212,12426,14286,12426,26712,11.18,1,9279,-1322,904,-1068,-1448,2873,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
18,5.4677,39,248,12894,2984,13888,15878,13888,29766,11.23,1,9279,-1322,904,-250,-676,4335,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
19,7.9951,34,329,13381,2893,13715,16274,13715,29989,11.15,1,9279,-1322,904,238,-767,4162,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
20,9.311,28,183,13024,2924,13462,15948,13462,29410,11.6,1,9279,-1322,904,-119,-736,3909,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
21,3.2358,16,387,15552,6180,10230,21732,10230,31962,11.19,1,9279,-1322,904,2409,2520,677,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
22,8.0185,10,324,13336,2850,12903,16186,12903,29088,10.99,1,9279,-1322,904,192,-810,3350,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
23,3.7022,36,478,14918,2964,10944,17882,10944,28826,11.3,1,9279,-1322,904,1775,-696,1391,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
24,4.0913,33,177,15210,2924,12085,18134,12085,30220,11.04,1,9279,-1322,904,2068,-736,2532,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
25,6.4806,9,90,13025,2922,13626,15947,13626,29574,11.55,1,9279,-1322,904,-118,-738,4073,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
