day,kind,a,b,corr
2,returns,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
2,returns,ROBOT_VACUUMING,ROBOT_MOPPING,0.0033881792684459576
2,returns,ROBOT_VACUUMING,ROBOT_DISHES,0.006725824949106273
2,returns,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.0021290475481941483
2,returns,ROBOT_VACUUMING,ROBOT_IRONING,0.017075396182115066
2,returns,ROBOT_MOPPING,ROBOT_VACUUMING,0.0033881792684459576
2,returns,ROBOT_MOPPING,ROBOT_MOPPING,1.0
2,returns,ROBOT_MOPPING,ROBOT_DISHES,0.0020665514113554534
2,returns,ROBOT_MOPPING,ROBOT_LAUNDRY,0.0046897969735735035
2,returns,ROBOT_MOPPING,ROBOT_IRONING,0.004573709819888433
2,returns,ROBOT_DISHES,ROBOT_VACUUMING,0.006725824949106273
2,returns,ROBOT_DISHES,ROBOT_MOPPING,0.0020665514113554534
2,returns,ROBOT_DISHES,ROBOT_DISHES,1.0
2,returns,ROBOT_DISHES,ROBOT_LAUNDRY,-0.016574636842057074
2,returns,ROBOT_DISHES,ROBOT_IRONING,-0.010243366846887333
2,returns,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.0021290475481941483
2,returns,ROBOT_LAUNDRY,ROBOT_MOPPING,0.0046897969735735035
2,returns,ROBOT_LAUNDRY,ROBOT_DISHES,-0.016574636842057074
2,returns,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
2,returns,ROBOT_LAUNDRY,ROBOT_IRONING,-0.013259696836947336
2,returns,ROBOT_IRONING,ROBOT_VACUUMING,0.017075396182115066
2,returns,ROBOT_IRONING,ROBOT_MOPPING,0.004573709819888433
2,returns,ROBOT_IRONING,ROBOT_DISHES,-0.010243366846887333
2,returns,ROBOT_IRONING,ROBOT_LAUNDRY,-0.013259696836947336
2,returns,ROBOT_IRONING,ROBOT_IRONING,1.0
3,returns,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
3,returns,ROBOT_VACUUMING,ROBOT_MOPPING,-0.011839618538519538
3,returns,ROBOT_VACUUMING,ROBOT_DISHES,-0.0014906305978974715
3,returns,ROBOT_VACUUMING,ROBOT_LAUNDRY,-0.014379760087613675
3,returns,ROBOT_VACUUMING,ROBOT_IRONING,0.0010192780472874576
3,returns,ROBOT_MOPPING,ROBOT_VACUUMING,-0.011839618538519538
3,returns,ROBOT_MOPPING,ROBOT_MOPPING,1.0
3,returns,ROBOT_MOPPING,ROBOT_DISHES,-0.00322853089860175
3,returns,ROBOT_MOPPING,ROBOT_LAUNDRY,-0.01060895720236361
3,returns,ROBOT_MOPPING,ROBOT_IRONING,0.007126647690170744
3,returns,ROBOT_DISHES,ROBOT_VACUUMING,-0.0014906305978974715
3,returns,ROBOT_DISHES,ROBOT_MOPPING,-0.00322853089860175
3,returns,ROBOT_DISHES,ROBOT_DISHES,1.0
3,returns,ROBOT_DISHES,ROBOT_LAUNDRY,0.003428171268624115
3,returns,ROBOT_DISHES,ROBOT_IRONING,0.009176134116654475
3,returns,ROBOT_LAUNDRY,ROBOT_VACUUMING,-0.014379760087613675
3,returns,ROBOT_LAUNDRY,ROBOT_MOPPING,-0.01060895720236361
3,returns,ROBOT_LAUNDRY,ROBOT_DISHES,0.003428171268624115
3,returns,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
3,returns,ROBOT_LAUNDRY,ROBOT_IRONING,0.0055128021204585665
3,returns,ROBOT_IRONING,ROBOT_VACUUMING,0.0010192780472874576
3,returns,ROBOT_IRONING,ROBOT_MOPPING,0.007126647690170744
3,returns,ROBOT_IRONING,ROBOT_DISHES,0.009176134116654475
3,returns,ROBOT_IRONING,ROBOT_LAUNDRY,0.0055128021204585665
3,returns,ROBOT_IRONING,ROBOT_IRONING,1.0
4,returns,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
4,returns,ROBOT_VACUUMING,ROBOT_MOPPING,-0.002893723101224127
4,returns,ROBOT_VACUUMING,ROBOT_DISHES,0.009001605900324651
4,returns,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.0076383041482205455
4,returns,ROBOT_VACUUMING,ROBOT_IRONING,0.01913166585037488
4,returns,ROBOT_MOPPING,ROBOT_VACUUMING,-0.002893723101224127
4,returns,ROBOT_MOPPING,ROBOT_MOPPING,1.0
4,returns,ROBOT_MOPPING,ROBOT_DISHES,-0.011206596247978156
4,returns,ROBOT_MOPPING,ROBOT_LAUNDRY,-0.022625320246053123
4,returns,ROBOT_MOPPING,ROBOT_IRONING,-0.013856987219453063
4,returns,ROBOT_DISHES,ROBOT_VACUUMING,0.009001605900324651
4,returns,ROBOT_DISHES,ROBOT_MOPPING,-0.011206596247978156
4,returns,ROBOT_DISHES,ROBOT_DISHES,1.0
4,returns,ROBOT_DISHES,ROBOT_LAUNDRY,0.00792745752096953
4,returns,ROBOT_DISHES,ROBOT_IRONING,0.002243439652511665
4,returns,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.0076383041482205455
4,returns,ROBOT_LAUNDRY,ROBOT_MOPPING,-0.022625320246053123
4,returns,ROBOT_LAUNDRY,ROBOT_DISHES,0.00792745752096953
4,returns,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
4,returns,ROBOT_LAUNDRY,ROBOT_IRONING,-0.017543330573751768
4,returns,ROBOT_IRONING,ROBOT_VACUUMING,0.01913166585037488
4,returns,ROBOT_IRONING,ROBOT_MOPPING,-0.013856987219453063
4,returns,ROBOT_IRONING,ROBOT_DISHES,0.002243439652511665
