day,kind,a,b,corr
2,returns,UV_VISOR_YELLOW,UV_VISOR_YELLOW,1.0
2,levels,UV_VISOR_YELLOW,UV_VISOR_YELLOW,1.0
2,returns,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.005975758378258523
2,levels,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.9089210632974244
2,returns,UV_VISOR_YELLOW,UV_VISOR_ORANGE,-0.005006023614130447
2,levels,UV_VISOR_YELLOW,UV_VISOR_ORANGE,-0.4451546518067769
2,returns,UV_VISOR_YELLOW,UV_VISOR_RED,0.01185604545683208
2,levels,UV_VISOR_YELLOW,UV_VISOR_RED,-0.20097635171910797
2,returns,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.00943646747893808
2,levels,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.7860875584765109
2,returns,UV_VISOR_AMBER,UV_VISOR_YELLOW,-0.005975758378258523
2,levels,UV_VISOR_AMBER,UV_VISOR_YELLOW,-0.9089210632974244
2,returns,UV_VISOR_AMBER,UV_VISOR_AMBER,1.0
2,levels,UV_VISOR_AMBER,UV_VISOR_AMBER,1.0
2,returns,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.008501351633531816
2,levels,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.37099971803115855
2,returns,UV_VISOR_AMBER,UV_VISOR_RED,0.010127489617786567
2,levels,UV_VISOR_AMBER,UV_VISOR_RED,0.011372304722725974
2,returns,UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.00017606527519589338
2,levels,UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.7501475919753501
2,returns,UV_VISOR_ORANGE,UV_VISOR_YELLOW,-0.005006023614130447
2,levels,UV_VISOR_ORANGE,UV_VISOR_YELLOW,-0.4451546518067769
2,returns,UV_VISOR_ORANGE,UV_VISOR_AMBER,0.008501351633531816
2,levels,UV_VISOR_ORANGE,UV_VISOR_AMBER,0.37099971803115855
2,returns,UV_VISOR_ORANGE,UV_VISOR_ORANGE,1.0
2,levels,UV_VISOR_ORANGE,UV_VISOR_ORANGE,1.0
2,returns,UV_VISOR_ORANGE,UV_VISOR_RED,0.0048851294978979574
2,levels,UV_VISOR_ORANGE,UV_VISOR_RED,-0.07189272531937314
2,returns,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.012031608812521116
2,levels,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,-0.1932930603006534
2,returns,UV_VISOR_RED,UV_VISOR_YELLOW,0.01185604545683208
